"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -8.761341e-001,
3001000000, -8.779507e-001,
3002000000, -8.738037e-001,
3003000000, -8.756474e-001,
3004000000, -8.748476e-001,
3005000000, -8.722782e-001,
3006000000, -8.720889e-001,
3007000000, -8.738642e-001,
3008000000, -8.753998e-001,
3009000000, -8.797092e-001,
3010000000, -8.830292e-001,
3011000000, -8.813426e-001,
3012000000, -8.836198e-001,
3013000000, -8.822874e-001,
3014000000, -8.869189e-001,
3015000000, -8.904948e-001,
3016000000, -8.925384e-001,
3017000000, -8.923020e-001,
3018000000, -9.005691e-001,
3019000000, -8.987888e-001,
3020000000, -9.029051e-001,
3021000000, -9.075343e-001,
3022000000, -9.112745e-001,
3023000000, -9.161119e-001,
3024000000, -9.111269e-001,
3025000000, -9.196435e-001,
3026000000, -9.231805e-001,
3027000000, -9.285883e-001,
3028000000, -9.301400e-001,
3029000000, -9.292957e-001,
3030000000, -9.346813e-001,
3031000000, -9.398623e-001,
3032000000, -9.355661e-001,
3033000000, -9.353834e-001,
3034000000, -9.431521e-001,
3035000000, -9.494321e-001,
3036000000, -9.495788e-001,
3037000000, -9.528260e-001,
3038000000, -9.558646e-001,
3039000000, -9.582319e-001,
3040000000, -9.596296e-001,
3041000000, -9.608864e-001,
3042000000, -9.610600e-001,
3043000000, -9.615220e-001,
3044000000, -9.687560e-001,
3045000000, -9.642781e-001,
3046000000, -9.640821e-001,
3047000000, -9.661908e-001,
3048000000, -9.664600e-001,
3049000000, -9.701178e-001,
3050000000, -9.645665e-001,
3051000000, -9.696397e-001,
3052000000, -9.653752e-001,
3053000000, -9.661738e-001,
3054000000, -9.689810e-001,
3055000000, -9.700587e-001,
3056000000, -9.658042e-001,
3057000000, -9.615146e-001,
3058000000, -9.652711e-001,
3059000000, -9.601781e-001,
3060000000, -9.571528e-001,
3061000000, -9.617864e-001,
3062000000, -9.564608e-001,
3063000000, -9.594616e-001,
3064000000, -9.518371e-001,
3065000000, -9.590956e-001,
3066000000, -9.560094e-001,
3067000000, -9.497373e-001,
3068000000, -9.499033e-001,
