"S21 Log Mag"
"Frequency (Hz)","dB",
3000000000, -7.026820e-001,
3001000000, -7.025789e-001,
3002000000, -6.980841e-001,
3003000000, -6.999074e-001,
3004000000, -6.990089e-001,
3005000000, -6.973248e-001,
3006000000, -6.985477e-001,
3007000000, -6.987918e-001,
3008000000, -7.044908e-001,
3009000000, -7.062370e-001,
3010000000, -7.064337e-001,
3011000000, -7.103392e-001,
3012000000, -7.092122e-001,
3013000000, -7.156055e-001,
3014000000, -7.166864e-001,
3015000000, -7.147825e-001,
3016000000, -7.213567e-001,
3017000000, -7.240556e-001,
3018000000, -7.322348e-001,
3019000000, -7.276817e-001,
3020000000, -7.308372e-001,
3021000000, -7.329014e-001,
3022000000, -7.404295e-001,
3023000000, -7.444609e-001,
3024000000, -7.439462e-001,
3025000000, -7.488664e-001,
3026000000, -7.537822e-001,
3027000000, -7.603841e-001,
3028000000, -7.605777e-001,
3029000000, -7.620739e-001,
3030000000, -7.640616e-001,
3031000000, -7.693950e-001,
3032000000, -7.669463e-001,
3033000000, -7.666653e-001,
3034000000, -7.744290e-001,
3035000000, -7.830667e-001,
3036000000, -7.812167e-001,
3037000000, -7.847282e-001,
3038000000, -7.856780e-001,
3039000000, -7.867132e-001,
3040000000, -7.878347e-001,
3041000000, -7.902725e-001,
3042000000, -7.903637e-001,
3043000000, -7.892922e-001,
3044000000, -7.957825e-001,
3045000000, -7.921037e-001,
3046000000, -7.911942e-001,
3047000000, -7.925976e-001,
3048000000, -7.934203e-001,
3049000000, -7.953056e-001,
3050000000, -7.893768e-001,
3051000000, -7.937818e-001,
3052000000, -7.892811e-001,
3053000000, -7.908353e-001,
3054000000, -7.916739e-001,
3055000000, -7.913815e-001,
3056000000, -7.875914e-001,
3057000000, -7.842818e-001,
3058000000, -7.846568e-001,
3059000000, -7.810460e-001,
3060000000, -7.757514e-001,
3061000000, -7.772053e-001,
3062000000, -7.720364e-001,
3063000000, -7.748989e-001,
3064000000, -7.683584e-001,
3065000000, -7.755203e-001,
3066000000, -7.716615e-001,
3067000000, -7.666510e-001,
3068000000, -7.649366e-001,
3069000000, -7.643995e-001,
3070000000, -7.677290e-001,
3071000000, -7.627332e-001,
3072000000, -7.608846e-001,
3073000000, -7.554777e-001,
3074000000, -7.575630e-001,
3075000000, -7.548962e-001,
3076000000, -7.525647e-001,
3077000000, -7.467767e-001,
3078000000, -7.480450e-001,
3079000000, -7.520802e-001,
3080000000, -7.452831e-001,
3081000000, -7.451074e-001,
3082000000, -7.388381e-001,
3083000000, -7.444380e-001,
3084000000, -7.436110e-001,
3085000000, -7.420151e-001,
3086000000, -7.399935e-001,
3087000000, -7.366396e-001,
3088000000, -7.385485e-001,
3089000000, -7.406139e-001,
3090000000, -7.424258e-001,
3091000000, -7.369072e-001,
3092000000, -7.398998e-001,
3093000000, -7.369711e-001,
3094000000, -7.318220e-001,
3095000000, -7.373703e-001,
3096000000, -7.423705e-001,
3097000000, -7.364982e-001,
3098000000, -7.376382e-001,
3099000000, -7.403618e-001,
3100000000, -7.455367e-001,
3101000000, -7.419011e-001,
3102000000, -7.447646e-001,
3103000000, -7.462933e-001,
3104000000, -7.447408e-001,
3105000000, -7.442960e-001,
3106000000, -7.472053e-001,
3107000000, -7.450740e-001,
3108000000, -7.500377e-001,
3109000000, -7.522975e-001,
3110000000, -7.475618e-001,
3111000000, -7.525579e-001,
3112000000, -7.511337e-001,
3113000000, -7.509345e-001,
3114000000, -7.616942e-001,
3115000000, -7.587302e-001,
3116000000, -7.570348e-001,
3117000000, -7.614807e-001,
3118000000, -7.567960e-001,
3119000000, -7.585551e-001,
3120000000, -7.598911e-001,
3121000000, -7.595631e-001,
3122000000, -7.622009e-001,
3123000000, -7.629259e-001,
3124000000, -7.622495e-001,
3125000000, -7.582700e-001,
3126000000, -7.605386e-001,
3127000000, -7.608979e-001,
3128000000, -7.626079e-001,
3129000000, -7.631522e-001,
3130000000, -7.603074e-001,
3131000000, -7.666920e-001,
3132000000, -7.586547e-001,
3133000000, -7.601708e-001,
3134000000, -7.607239e-001,
3135000000, -7.600176e-001,
3136000000, -7.543839e-001,
3137000000, -7.617180e-001,
3138000000, -7.548527e-001,
3139000000, -7.545714e-001,
3140000000, -7.553638e-001,
3141000000, -7.561204e-001,
3142000000, -7.558098e-001,
3143000000, -7.501538e-001,
3144000000, -7.463832e-001,
3145000000, -7.466926e-001,
3146000000, -7.487305e-001,
3147000000, -7.474781e-001,
3148000000, -7.527872e-001,
3149000000, -7.468058e-001,
3150000000, -7.485178e-001,
3151000000, -7.425203e-001,
3152000000, -7.503669e-001,
3153000000, -7.382764e-001,
3154000000, -7.409347e-001,
3155000000, -7.375060e-001,
3156000000, -7.409611e-001,
3157000000, -7.402441e-001,
3158000000, -7.398233e-001,
3159000000, -7.420146e-001,
3160000000, -7.447520e-001,
3161000000, -7.478271e-001,
3162000000, -7.389035e-001,
3163000000, -7.403024e-001,
3164000000, -7.410305e-001,
3165000000, -7.405735e-001,
3166000000, -7.406006e-001,
3167000000, -7.406675e-001,
3168000000, -7.409728e-001,
3169000000, -7.398446e-001,
3170000000, -7.436669e-001,
3171000000, -7.417125e-001,
3172000000, -7.445584e-001,
3173000000, -7.479305e-001,
3174000000, -7.465237e-001,
3175000000, -7.480864e-001,
3176000000, -7.494608e-001,
3177000000, -7.397389e-001,
