"S11 Log Mag"
"Frequency (Hz)","dB",
3000000000, -1.113956e+001,
3001000000, -1.115189e+001,
3002000000, -1.115281e+001,
3003000000, -1.115682e+001,
3004000000, -1.116346e+001,
3005000000, -1.116536e+001,
3006000000, -1.117497e+001,
3007000000, -1.118963e+001,
3008000000, -1.120319e+001,
3009000000, -1.121489e+001,
3010000000, -1.123066e+001,
3011000000, -1.123518e+001,
3012000000, -1.124088e+001,
3013000000, -1.123921e+001,
3014000000, -1.123767e+001,
3015000000, -1.123320e+001,
3016000000, -1.122911e+001,
3017000000, -1.122469e+001,
3018000000, -1.122266e+001,
3019000000, -1.121887e+001,
3020000000, -1.121657e+001,
3021000000, -1.120887e+001,
3022000000, -1.120801e+001,
3023000000, -1.120570e+001,
3024000000, -1.120092e+001,
3025000000, -1.120518e+001,
3026000000, -1.120639e+001,
3027000000, -1.121542e+001,
3028000000, -1.122201e+001,
3029000000, -1.123840e+001,
3030000000, -1.125606e+001,
3031000000, -1.127882e+001,
3032000000, -1.130857e+001,
3033000000, -1.133234e+001,
3034000000, -1.135783e+001,
3035000000, -1.138184e+001,
3036000000, -1.140039e+001,
3037000000, -1.141391e+001,
3038000000, -1.142104e+001,
3039000000, -1.142699e+001,
3040000000, -1.143031e+001,
3041000000, -1.143166e+001,
3042000000, -1.143191e+001,
3043000000, -1.143239e+001,
3044000000, -1.143225e+001,
3045000000, -1.143160e+001,
3046000000, -1.143093e+001,
3047000000, -1.143199e+001,
3048000000, -1.142971e+001,
3049000000, -1.142712e+001,
3050000000, -1.143104e+001,
3051000000, -1.143870e+001,
3052000000, -1.145133e+001,
3053000000, -1.146590e+001,
3054000000, -1.148927e+001,
3055000000, -1.151206e+001,
3056000000, -1.153301e+001,
3057000000, -1.155492e+001,
3058000000, -1.157506e+001,
3059000000, -1.158713e+001,
3060000000, -1.160474e+001,
3061000000, -1.161939e+001,
3062000000, -1.163280e+001,
3063000000, -1.164565e+001,
3064000000, -1.165944e+001,
3065000000, -1.167257e+001,
3066000000, -1.168472e+001,
3067000000, -1.169712e+001,
3068000000, -1.171387e+001,
3069000000, -1.172780e+001,
3070000000, -1.174563e+001,
3071000000, -1.176887e+001,
3072000000, -1.179378e+001,
3073000000, -1.182040e+001,
3074000000, -1.185053e+001,
3075000000, -1.187968e+001,
3076000000, -1.191238e+001,
3077000000, -1.193903e+001,
3078000000, -1.196844e+001,
3079000000, -1.199951e+001,
3080000000, -1.202319e+001,
3081000000, -1.204535e+001,
3082000000, -1.205634e+001,
3083000000, -1.205578e+001,
3084000000, -1.205155e+001,
3085000000, -1.204466e+001,
3086000000, -1.203602e+001,
3087000000, -1.202381e+001,
3088000000, -1.201805e+001,
3089000000, -1.201620e+001,
3090000000, -1.201494e+001,
3091000000, -1.202107e+001,
3092000000, -1.202597e+001,
3093000000, -1.203143e+001,
3094000000, -1.203526e+001,
3095000000, -1.204249e+001,
3096000000, -1.204963e+001,
3097000000, -1.205990e+001,
3098000000, -1.207388e+001,
3099000000, -1.208728e+001,
3100000000, -1.210314e+001,
3101000000, -1.212361e+001,
3102000000, -1.214322e+001,
3103000000, -1.216745e+001,
3104000000, -1.218858e+001,
3105000000, -1.220083e+001,
3106000000, -1.221101e+001,
3107000000, -1.221461e+001,
3108000000, -1.221611e+001,
3109000000, -1.222031e+001,
3110000000, -1.222813e+001,
3111000000, -1.223059e+001,
3112000000, -1.224253e+001,
3113000000, -1.225645e+001,
3114000000, -1.227415e+001,
3115000000, -1.228824e+001,
3116000000, -1.230251e+001,
3117000000, -1.231645e+001,
3118000000, -1.232690e+001,
3119000000, -1.233732e+001,
3120000000, -1.234274e+001,
3121000000, -1.235050e+001,
3122000000, -1.235344e+001,
3123000000, -1.236175e+001,
3124000000, -1.237299e+001,
3125000000, -1.238474e+001,
3126000000, -1.239207e+001,
3127000000, -1.240614e+001,
3128000000, -1.242053e+001,
3129000000, -1.242989e+001,
3130000000, -1.244196e+001,
3131000000, -1.245556e+001,
3132000000, -1.247345e+001,
3133000000, -1.249010e+001,
3134000000, -1.250758e+001,
3135000000, -1.252908e+001,
3136000000, -1.255290e+001,
3137000000, -1.257905e+001,
3138000000, -1.260566e+001,
3139000000, -1.262777e+001,
3140000000, -1.264173e+001,
3141000000, -1.264526e+001,
3142000000, -1.264809e+001,
3143000000, -1.264236e+001,
3144000000, -1.263356e+001,
3145000000, -1.262813e+001,
3146000000, -1.263309e+001,
3147000000, -1.263280e+001,
3148000000, -1.264923e+001,
3149000000, -1.266151e+001,
3150000000, -1.267331e+001,
3151000000, -1.268180e+001,
3152000000, -1.268180e+001,
3153000000, -1.268294e+001,
3154000000, -1.267354e+001,
3155000000, -1.266920e+001,
3156000000, -1.267210e+001,
3157000000, -1.268148e+001,
3158000000, -1.269638e+001,
3159000000, -1.271625e+001,
3160000000, -1.273696e+001,
3161000000, -1.276251e+001,
3162000000, -1.277849e+001,
3163000000, -1.279242e+001,
3164000000, -1.279852e+001,
3165000000, -1.279608e+001,
3166000000, -1.279005e+001,
3167000000, -1.277349e+001,
3168000000, -1.275556e+001,
3169000000, -1.273348e+001,
3170000000, -1.271305e+001,
3171000000, -1.269180e+001,
3172000000, -1.267981e+001,
3173000000, -1.265761e+001,
3174000000, -1.264058e+001,
3175000000, -1.262710e+001,
3176000000, -1.261379e+001,
3177000000, -1.260645e+001,
3178000000, -1.260894e+001,
3179000000, -1.261474e+001,
3180000000, -1.263309e+001,
3181000000, -1.265492e+001,
3182000000, -1.268881e+001,
3183000000, -1.272653e+001,
3184000000, -1.276428e+001,
3185000000, -1.280152e+001,
3186000000, -1.283594e+001,
3187000000, -1.287215e+001,
3188000000, -1.290378e+001,
3189000000, -1.292864e+001,
3190000000, -1.295344e+001,
3191000000, -1.297564e+001,
3192000000, -1.299669e+001,
3193000000, -1.301424e+001,
3194000000, -1.302875e+001,
3195000000, -1.304630e+001,
3196000000, -1.306727e+001,
3197000000, -1.308739e+001,
3198000000, -1.311339e+001,
3199000000, -1.314193e+001,
3200000000, -1.317874e+001,
3201000000, -1.321530e+001,
3202000000, -1.325336e+001,
3203000000, -1.328640e+001,
3204000000, -1.332827e+001,
3205000000, -1.335848e+001,
3206000000, -1.338503e+001,
3207000000, -1.341053e+001,
3208000000, -1.343325e+001,
3209000000, -1.345144e+001,
3210000000, -1.346318e+001,
3211000000, -1.347130e+001,
3212000000, -1.346535e+001,
3213000000, -1.346153e+001,
3214000000, -1.344578e+001,
3215000000, -1.342088e+001,
3216000000, -1.339794e+001,
3217000000, -1.337529e+001,
3218000000, -1.335392e+001,
3219000000, -1.333378e+001,
3220000000, -1.331537e+001,
3221000000, -1.331368e+001,
3222000000, -1.331191e+001,
3223000000, -1.331296e+001,
3224000000, -1.332099e+001,
3225000000, -1.332825e+001,
3226000000, -1.334272e+001,
3227000000, -1.335254e+001,
3228000000, -1.336182e+001,
3229000000, -1.337766e+001,
3230000000, -1.338177e+001,
3231000000, -1.339422e+001,
3232000000, -1.340130e+001,
3233000000, -1.340545e+001,
3234000000, -1.340178e+001,
3235000000, -1.339801e+001,
3236000000, -1.339480e+001,
3237000000, -1.338059e+001,
3238000000, -1.337905e+001,
3239000000, -1.337732e+001,
3240000000, -1.338279e+001,
3241000000, -1.337913e+001,
3242000000, -1.338444e+001,
3243000000, -1.339375e+001,
3244000000, -1.340023e+001,
3245000000, -1.341593e+001,
3246000000, -1.342702e+001,
3247000000, -1.343585e+001,
3248000000, -1.344178e+001,
3249000000, -1.344568e+001,
3250000000, -1.345149e+001,
3251000000, -1.345442e+001,
3252000000, -1.346487e+001,
3253000000, -1.347155e+001,
3254000000, -1.348327e+001,
3255000000, -1.349654e+001,
3256000000, -1.351417e+001,
3257000000, -1.352739e+001,
3258000000, -1.354285e+001,
3259000000, -1.355595e+001,
3260000000, -1.357260e+001,
3261000000, -1.358045e+001,
3262000000, -1.359559e+001,
3263000000, -1.360219e+001,
3264000000, -1.361170e+001,
3265000000, -1.362069e+001,
3266000000, -1.362633e+001,
3267000000, -1.363588e+001,
3268000000, -1.365119e+001,
3269000000, -1.366225e+001,
3270000000, -1.368238e+001,
3271000000, -1.369521e+001,
3272000000, -1.370180e+001,
3273000000, -1.370500e+001,
3274000000, -1.370235e+001,
3275000000, -1.369591e+001,
3276000000, -1.368924e+001,
3277000000, -1.367918e+001,
3278000000, -1.366419e+001,
3279000000, -1.364753e+001,
3280000000, -1.362692e+001,
3281000000, -1.361109e+001,
3282000000, -1.359509e+001,
3283000000, -1.358084e+001,
3284000000, -1.356989e+001,
3285000000, -1.356332e+001,
3286000000, -1.355418e+001,
3287000000, -1.354540e+001,
3288000000, -1.353871e+001,
3289000000, -1.352579e+001,
3290000000, -1.351525e+001,
3291000000, -1.351540e+001,
3292000000, -1.351064e+001,
3293000000, -1.350831e+001,
3294000000, -1.350524e+001,
3295000000, -1.349769e+001,
3296000000, -1.348680e+001,
3297000000, -1.347688e+001,
3298000000, -1.346127e+001,
3299000000, -1.344064e+001,
3300000000, -1.341850e+001,
3301000000, -1.340202e+001,
3302000000, -1.337538e+001,
3303000000, -1.336075e+001,
3304000000, -1.334213e+001,
3305000000, -1.333192e+001,
3306000000, -1.332065e+001,
3307000000, -1.331694e+001,
3308000000, -1.331607e+001,
3309000000, -1.331422e+001,
3310000000, -1.331664e+001,
3311000000, -1.331875e+001,
3312000000, -1.332295e+001,
3313000000, -1.332140e+001,
3314000000, -1.332772e+001,
3315000000, -1.333387e+001,
3316000000, -1.333696e+001,
3317000000, -1.334168e+001,
3318000000, -1.334815e+001,
3319000000, -1.334876e+001,
3320000000, -1.336038e+001,
3321000000, -1.336628e+001,
3322000000, -1.337276e+001,
3323000000, -1.337946e+001,
3324000000, -1.338919e+001,
3325000000, -1.339467e+001,
3326000000, -1.340127e+001,
3327000000, -1.340574e+001,
3328000000, -1.340706e+001,
3329000000, -1.340727e+001,
3330000000, -1.340889e+001,
3331000000, -1.340466e+001,
3332000000, -1.340105e+001,
3333000000, -1.339352e+001,
3334000000, -1.338298e+001,
3335000000, -1.337435e+001,
3336000000, -1.336085e+001,
3337000000, -1.335260e+001,
3338000000, -1.333801e+001,
3339000000, -1.333040e+001,
3340000000, -1.332260e+001,
3341000000, -1.332570e+001,
3342000000, -1.332903e+001,
3343000000, -1.334299e+001,
3344000000, -1.335626e+001,
3345000000, -1.337321e+001,
3346000000, -1.339628e+001,
3347000000, -1.341116e+001,
3348000000, -1.343269e+001,
3349000000, -1.344276e+001,
3350000000, -1.345664e+001,
3351000000, -1.346936e+001,
3352000000, -1.347417e+001,
3353000000, -1.348632e+001,
3354000000, -1.349290e+001,
3355000000, -1.349781e+001,
3356000000, -1.350317e+001,
3357000000, -1.349535e+001,
3358000000, -1.349874e+001,
3359000000, -1.348717e+001,
3360000000, -1.348250e+001,
3361000000, -1.347439e+001,
3362000000, -1.346681e+001,
3363000000, -1.346818e+001,
3364000000, -1.346875e+001,
3365000000, -1.346630e+001,
3366000000, -1.346905e+001,
3367000000, -1.346990e+001,
3368000000, -1.346864e+001,
3369000000, -1.346564e+001,
3370000000, -1.346396e+001,
3371000000, -1.346166e+001,
3372000000, -1.346425e+001,
3373000000, -1.345469e+001,
3374000000, -1.345372e+001,
3375000000, -1.345023e+001,
3376000000, -1.343743e+001,
3377000000, -1.343041e+001,
3378000000, -1.342095e+001,
3379000000, -1.340656e+001,
3380000000, -1.339225e+001,
3381000000, -1.338235e+001,
3382000000, -1.336987e+001,
3383000000, -1.335812e+001,
3384000000, -1.335308e+001,
3385000000, -1.334019e+001,
3386000000, -1.333228e+001,
