"S11 Log Mag"
"Frequency (Hz)","dB",
3000000000, -1.038329e+001,
3001000000, -1.039247e+001,
3002000000, -1.043677e+001,
3003000000, -1.047379e+001,
3004000000, -1.051092e+001,
3005000000, -1.055836e+001,
3006000000, -1.059489e+001,
3007000000, -1.063222e+001,
3008000000, -1.066222e+001,
3009000000, -1.069794e+001,
3010000000, -1.072985e+001,
3011000000, -1.076102e+001,
3012000000, -1.077824e+001,
3013000000, -1.079291e+001,
3014000000, -1.080311e+001,
3015000000, -1.081630e+001,
3016000000, -1.082597e+001,
3017000000, -1.082724e+001,
3018000000, -1.082136e+001,
3019000000, -1.082262e+001,
3020000000, -1.081522e+001,
3021000000, -1.080305e+001,
3022000000, -1.080103e+001,
3023000000, -1.079563e+001,
3024000000, -1.078797e+001,
3025000000, -1.077968e+001,
3026000000, -1.078272e+001,
3027000000, -1.077176e+001,
3028000000, -1.078527e+001,
3029000000, -1.079391e+001,
3030000000, -1.081087e+001,
3031000000, -1.081590e+001,
3032000000, -1.084027e+001,
3033000000, -1.085537e+001,
3034000000, -1.085898e+001,
3035000000, -1.086796e+001,
3036000000, -1.085558e+001,
3037000000, -1.085448e+001,
3038000000, -1.083774e+001,
3039000000, -1.082238e+001,
3040000000, -1.079949e+001,
3041000000, -1.079446e+001,
3042000000, -1.079158e+001,
3043000000, -1.078678e+001,
3044000000, -1.079291e+001,
3045000000, -1.079363e+001,
3046000000, -1.081120e+001,
3047000000, -1.081169e+001,
3048000000, -1.082623e+001,
3049000000, -1.083619e+001,
3050000000, -1.085194e+001,
3051000000, -1.087490e+001,
3052000000, -1.092241e+001,
3053000000, -1.094131e+001,
3054000000, -1.097551e+001,
3055000000, -1.100539e+001,
3056000000, -1.103543e+001,
3057000000, -1.105398e+001,
3058000000, -1.108270e+001,
3059000000, -1.110460e+001,
3060000000, -1.112981e+001,
3061000000, -1.113756e+001,
3062000000, -1.115889e+001,
3063000000, -1.117510e+001,
3064000000, -1.118296e+001,
3065000000, -1.120854e+001,
3066000000, -1.121682e+001,
3067000000, -1.124821e+001,
3068000000, -1.126288e+001,
3069000000, -1.127646e+001,
3070000000, -1.129907e+001,
3071000000, -1.131899e+001,
3072000000, -1.133653e+001,
3073000000, -1.135758e+001,
3074000000, -1.137478e+001,
3075000000, -1.138288e+001,
3076000000, -1.140251e+001,
3077000000, -1.141180e+001,
3078000000, -1.141650e+001,
3079000000, -1.144648e+001,
3080000000, -1.145719e+001,
3081000000, -1.148836e+001,
3082000000, -1.151205e+001,
3083000000, -1.153244e+001,
3084000000, -1.157029e+001,
3085000000, -1.159032e+001,
3086000000, -1.161549e+001,
3087000000, -1.164094e+001,
3088000000, -1.167206e+001,
3089000000, -1.169059e+001,
3090000000, -1.171283e+001,
3091000000, -1.173727e+001,
3092000000, -1.175286e+001,
3093000000, -1.177394e+001,
3094000000, -1.178443e+001,
3095000000, -1.179441e+001,
3096000000, -1.179207e+001,
3097000000, -1.179062e+001,
3098000000, -1.179628e+001,
3099000000, -1.178076e+001,
3100000000, -1.177998e+001,
3101000000, -1.177584e+001,
3102000000, -1.177159e+001,
3103000000, -1.179536e+001,
3104000000, -1.179195e+001,
3105000000, -1.179088e+001,
3106000000, -1.181290e+001,
3107000000, -1.181770e+001,
3108000000, -1.181920e+001,
3109000000, -1.183315e+001,
3110000000, -1.184073e+001,
3111000000, -1.186789e+001,
3112000000, -1.187119e+001,
3113000000, -1.189383e+001,
3114000000, -1.191912e+001,
3115000000, -1.196046e+001,
3116000000, -1.198854e+001,
3117000000, -1.201408e+001,
3118000000, -1.202404e+001,
3119000000, -1.202811e+001,
3120000000, -1.203265e+001,
3121000000, -1.204473e+001,
3122000000, -1.204805e+001,
3123000000, -1.206606e+001,
3124000000, -1.208867e+001,
3125000000, -1.211802e+001,
3126000000, -1.215235e+001,
3127000000, -1.216662e+001,
3128000000, -1.219301e+001,
3129000000, -1.222536e+001,
3130000000, -1.225707e+001,
3131000000, -1.227455e+001,
3132000000, -1.230899e+001,
3133000000, -1.233278e+001,
3134000000, -1.237492e+001,
3135000000, -1.240867e+001,
3136000000, -1.243486e+001,
3137000000, -1.248859e+001,
3138000000, -1.251728e+001,
3139000000, -1.255335e+001,
3140000000, -1.260560e+001,
3141000000, -1.264250e+001,
3142000000, -1.265830e+001,
3143000000, -1.268488e+001,
3144000000, -1.269291e+001,
3145000000, -1.272898e+001,
3146000000, -1.274346e+001,
3147000000, -1.274823e+001,
3148000000, -1.274928e+001,
3149000000, -1.277128e+001,
3150000000, -1.278813e+001,
3151000000, -1.278773e+001,
3152000000, -1.280309e+001,
3153000000, -1.279571e+001,
3154000000, -1.277857e+001,
3155000000, -1.275112e+001,
3156000000, -1.273184e+001,
3157000000, -1.272328e+001,
3158000000, -1.271963e+001,
3159000000, -1.273086e+001,
3160000000, -1.273959e+001,
3161000000, -1.274870e+001,
3162000000, -1.276960e+001,
3163000000, -1.280505e+001,
3164000000, -1.284371e+001,
3165000000, -1.285501e+001,
3166000000, -1.288294e+001,
3167000000, -1.289308e+001,
3168000000, -1.291243e+001,
3169000000, -1.291265e+001,
3170000000, -1.288467e+001,
3171000000, -1.286262e+001,
3172000000, -1.285850e+001,
3173000000, -1.283568e+001,
3174000000, -1.282457e+001,
3175000000, -1.279840e+001,
3176000000, -1.278815e+001,
3177000000, -1.279074e+001,
3178000000, -1.277100e+001,
3179000000, -1.277526e+001,
3180000000, -1.277213e+001,
3181000000, -1.278961e+001,
3182000000, -1.279266e+001,
3183000000, -1.281432e+001,
3184000000, -1.284793e+001,
3185000000, -1.284429e+001,
3186000000, -1.288278e+001,
3187000000, -1.291978e+001,
3188000000, -1.292594e+001,
3189000000, -1.295163e+001,
3190000000, -1.296644e+001,
3191000000, -1.297488e+001,
3192000000, -1.299402e+001,
3193000000, -1.300003e+001,
3194000000, -1.302246e+001,
3195000000, -1.303223e+001,
3196000000, -1.305696e+001,
3197000000, -1.307069e+001,
3198000000, -1.310329e+001,
3199000000, -1.312015e+001,
3200000000, -1.313537e+001,
3201000000, -1.316273e+001,
3202000000, -1.319133e+001,
3203000000, -1.320263e+001,
3204000000, -1.320008e+001,
3205000000, -1.321267e+001,
3206000000, -1.322252e+001,
3207000000, -1.322161e+001,
3208000000, -1.321552e+001,
3209000000, -1.322308e+001,
3210000000, -1.323464e+001,
3211000000, -1.323024e+001,
3212000000, -1.322585e+001,
3213000000, -1.321376e+001,
3214000000, -1.320872e+001,
3215000000, -1.319801e+001,
3216000000, -1.318120e+001,
3217000000, -1.317889e+001,
3218000000, -1.315742e+001,
3219000000, -1.315386e+001,
3220000000, -1.317496e+001,
3221000000, -1.319495e+001,
3222000000, -1.320143e+001,
3223000000, -1.323219e+001,
3224000000, -1.326076e+001,
3225000000, -1.330624e+001,
3226000000, -1.335629e+001,
3227000000, -1.339024e+001,
3228000000, -1.339586e+001,
3229000000, -1.343373e+001,
