"S11 Log Mag"
"Frequency (Hz)","dB",
3000000000, -7.730083e+000,
3001000000, -7.752378e+000,
3002000000, -7.774058e+000,
3003000000, -7.796854e+000,
3004000000, -7.820727e+000,
3005000000, -7.840282e+000,
3006000000, -7.861600e+000,
3007000000, -7.885162e+000,
3008000000, -7.905531e+000,
3009000000, -7.921167e+000,
3010000000, -7.938804e+000,
3011000000, -7.954843e+000,
3012000000, -7.971298e+000,
3013000000, -7.986094e+000,
3014000000, -8.001206e+000,
3015000000, -8.016776e+000,
3016000000, -8.035701e+000,
3017000000, -8.054552e+000,
3018000000, -8.071967e+000,
3019000000, -8.086853e+000,
3020000000, -8.104391e+000,
3021000000, -8.118109e+000,
3022000000, -8.131131e+000,
3023000000, -8.143111e+000,
3024000000, -8.155388e+000,
3025000000, -8.165287e+000,
3026000000, -8.176630e+000,
3027000000, -8.186838e+000,
3028000000, -8.198139e+000,
3029000000, -8.210560e+000,
3030000000, -8.224916e+000,
3031000000, -8.239057e+000,
3032000000, -8.253605e+000,
3033000000, -8.265053e+000,
3034000000, -8.279437e+000,
3035000000, -8.290606e+000,
3036000000, -8.298582e+000,
3037000000, -8.305944e+000,
3038000000, -8.310594e+000,
3039000000, -8.318881e+000,
3040000000, -8.322358e+000,
3041000000, -8.327718e+000,
3042000000, -8.337689e+000,
3043000000, -8.344427e+000,
3044000000, -8.355566e+000,
3045000000, -8.365938e+000,
3046000000, -8.383660e+000,
3047000000, -8.396408e+000,
3048000000, -8.414037e+000,
3049000000, -8.429137e+000,
3050000000, -8.447956e+000,
3051000000, -8.463155e+000,
3052000000, -8.476041e+000,
3053000000, -8.492820e+000,
3054000000, -8.503579e+000,
3055000000, -8.517264e+000,
3056000000, -8.527637e+000,
3057000000, -8.537421e+000,
3058000000, -8.542031e+000,
3059000000, -8.551476e+000,
3060000000, -8.559490e+000,
3061000000, -8.566527e+000,
3062000000, -8.573748e+000,
3063000000, -8.587344e+000,
3064000000, -8.600935e+000,
3065000000, -8.611954e+000,
3066000000, -8.630932e+000,
3067000000, -8.649899e+000,
3068000000, -8.668339e+000,
3069000000, -8.682947e+000,
3070000000, -8.697246e+000,
3071000000, -8.710477e+000,
3072000000, -8.724847e+000,
3073000000, -8.735549e+000,
3074000000, -8.745344e+000,
3075000000, -8.752474e+000,
3076000000, -8.756269e+000,
3077000000, -8.762943e+000,
3078000000, -8.767429e+000,
3079000000, -8.774927e+000,
3080000000, -8.786086e+000,
3081000000, -8.798374e+000,
3082000000, -8.815805e+000,
3083000000, -8.828823e+000,
3084000000, -8.842688e+000,
3085000000, -8.852651e+000,
3086000000, -8.861469e+000,
3087000000, -8.865026e+000,
3088000000, -8.866837e+000,
3089000000, -8.866312e+000,
3090000000, -8.864741e+000,
3091000000, -8.865471e+000,
3092000000, -8.861990e+000,
3093000000, -8.865041e+000,
3094000000, -8.868849e+000,
3095000000, -8.870027e+000,
3096000000, -8.870195e+000,
3097000000, -8.871900e+000,
3098000000, -8.872267e+000,
3099000000, -8.874041e+000,
3100000000, -8.873628e+000,
3101000000, -8.875332e+000,
3102000000, -8.877436e+000,
3103000000, -8.886898e+000,
3104000000, -8.890256e+000,
3105000000, -8.898443e+000,
3106000000, -8.911346e+000,
3107000000, -8.924251e+000,
3108000000, -8.938827e+000,
3109000000, -8.954748e+000,
3110000000, -8.974691e+000,
3111000000, -8.993473e+000,
3112000000, -9.014581e+000,
3113000000, -9.033778e+000,
3114000000, -9.056902e+000,
3115000000, -9.073758e+000,
3116000000, -9.095364e+000,
3117000000, -9.112018e+000,
3118000000, -9.123578e+000,
3119000000, -9.136681e+000,
3120000000, -9.145917e+000,
3121000000, -9.154286e+000,
3122000000, -9.160146e+000,
3123000000, -9.172005e+000,
3124000000, -9.179120e+000,
3125000000, -9.186769e+000,
3126000000, -9.190064e+000,
3127000000, -9.199563e+000,
3128000000, -9.214704e+000,
3129000000, -9.232105e+000,
3130000000, -9.254831e+000,
3131000000, -9.278982e+000,
3132000000, -9.310243e+000,
3133000000, -9.336123e+000,
3134000000, -9.363201e+000,
3135000000, -9.387778e+000,
3136000000, -9.411582e+000,
3137000000, -9.433954e+000,
3138000000, -9.456266e+000,
3139000000, -9.472149e+000,
3140000000, -9.483686e+000,
3141000000, -9.493902e+000,
3142000000, -9.513699e+000,
3143000000, -9.519395e+000,
3144000000, -9.525534e+000,
3145000000, -9.531115e+000,
3146000000, -9.539703e+000,
3147000000, -9.542199e+000,
3148000000, -9.555110e+000,
3149000000, -9.559855e+000,
3150000000, -9.565752e+000,
3151000000, -9.572737e+000,
3152000000, -9.571205e+000,
3153000000, -9.578445e+000,
3154000000, -9.578509e+000,
3155000000, -9.577728e+000,
3156000000, -9.583735e+000,
3157000000, -9.590722e+000,
3158000000, -9.592874e+000,
3159000000, -9.599435e+000,
3160000000, -9.609052e+000,
3161000000, -9.620111e+000,
3162000000, -9.629765e+000,
3163000000, -9.642018e+000,
3164000000, -9.653067e+000,
3165000000, -9.666307e+000,
3166000000, -9.679096e+000,
3167000000, -9.689261e+000,
3168000000, -9.705039e+000,
3169000000, -9.715176e+000,
3170000000, -9.735376e+000,
3171000000, -9.751044e+000,
3172000000, -9.775322e+000,
3173000000, -9.800268e+000,
3174000000, -9.817972e+000,
3175000000, -9.843522e+000,
3176000000, -9.867232e+000,
3177000000, -9.891454e+000,
3178000000, -9.917831e+000,
3179000000, -9.943672e+000,
3180000000, -9.973492e+000,
3181000000, -1.000840e+001,
3182000000, -1.003696e+001,
3183000000, -1.006814e+001,
3184000000, -1.009669e+001,
3185000000, -1.012675e+001,
3186000000, -1.015321e+001,
3187000000, -1.017945e+001,
3188000000, -1.020125e+001,
3189000000, -1.022525e+001,
3190000000, -1.024342e+001,
3191000000, -1.026414e+001,
3192000000, -1.028093e+001,
3193000000, -1.030017e+001,
3194000000, -1.031415e+001,
3195000000, -1.033289e+001,
3196000000, -1.034530e+001,
3197000000, -1.036169e+001,
3198000000, -1.037270e+001,
3199000000, -1.038012e+001,
3200000000, -1.039374e+001,
3201000000, -1.039526e+001,
3202000000, -1.039970e+001,
3203000000, -1.039911e+001,
3204000000, -1.040577e+001,
3205000000, -1.040434e+001,
3206000000, -1.041295e+001,
3207000000, -1.042317e+001,
3208000000, -1.043517e+001,
3209000000, -1.044456e+001,
3210000000, -1.046069e+001,
3211000000, -1.047800e+001,
3212000000, -1.048864e+001,
3213000000, -1.050996e+001,
3214000000, -1.053098e+001,
3215000000, -1.055480e+001,
3216000000, -1.057927e+001,
3217000000, -1.061242e+001,
3218000000, -1.064476e+001,
3219000000, -1.068521e+001,
3220000000, -1.072509e+001,
3221000000, -1.076794e+001,
3222000000, -1.081020e+001,
3223000000, -1.085201e+001,
3224000000, -1.088698e+001,
3225000000, -1.092206e+001,
3226000000, -1.094408e+001,
3227000000, -1.096161e+001,
3228000000, -1.097670e+001,
3229000000, -1.098800e+001,
3230000000, -1.099741e+001,
3231000000, -1.100327e+001,
3232000000, -1.101914e+001,
3233000000, -1.102731e+001,
3234000000, -1.103611e+001,
3235000000, -1.104358e+001,
3236000000, -1.105214e+001,
3237000000, -1.105719e+001,
3238000000, -1.106543e+001,
3239000000, -1.107592e+001,
3240000000, -1.108540e+001,
3241000000, -1.110167e+001,
3242000000, -1.111861e+001,
3243000000, -1.114495e+001,
3244000000, -1.116787e+001,
3245000000, -1.119570e+001,
3246000000, -1.122329e+001,
3247000000, -1.124816e+001,
3248000000, -1.127246e+001,
3249000000, -1.129475e+001,
3250000000, -1.131464e+001,
3251000000, -1.132970e+001,
3252000000, -1.134723e+001,
3253000000, -1.136179e+001,
3254000000, -1.137152e+001,
3255000000, -1.138711e+001,
3256000000, -1.139806e+001,
3257000000, -1.141030e+001,
3258000000, -1.142665e+001,
3259000000, -1.144404e+001,
3260000000, -1.145998e+001,
3261000000, -1.147582e+001,
3262000000, -1.149921e+001,
3263000000, -1.152029e+001,
3264000000, -1.154614e+001,
3265000000, -1.156782e+001,
3266000000, -1.159576e+001,
3267000000, -1.161873e+001,
3268000000, -1.164463e+001,
3269000000, -1.166536e+001,
3270000000, -1.168627e+001,
3271000000, -1.170979e+001,
3272000000, -1.172750e+001,
3273000000, -1.175129e+001,
3274000000, -1.176466e+001,
3275000000, -1.178113e+001,
3276000000, -1.180129e+001,
3277000000, -1.181770e+001,
3278000000, -1.182450e+001,
3279000000, -1.184214e+001,
3280000000, -1.186119e+001,
3281000000, -1.188029e+001,
3282000000, -1.190301e+001,
3283000000, -1.193912e+001,
3284000000, -1.196899e+001,
3285000000, -1.201014e+001,
3286000000, -1.205136e+001,
3287000000, -1.209391e+001,
3288000000, -1.213309e+001,
3289000000, -1.217425e+001,
3290000000, -1.220899e+001,
3291000000, -1.224148e+001,
3292000000, -1.227149e+001,
3293000000, -1.229788e+001,
3294000000, -1.232078e+001,
3295000000, -1.233481e+001,
3296000000, -1.235130e+001,
3297000000, -1.236155e+001,
3298000000, -1.236170e+001,
3299000000, -1.235947e+001,
3300000000, -1.235337e+001,
3301000000, -1.234666e+001,
3302000000, -1.233786e+001,
3303000000, -1.233643e+001,
3304000000, -1.232906e+001,
3305000000, -1.232866e+001,
3306000000, -1.232895e+001,
3307000000, -1.233092e+001,
3308000000, -1.233256e+001,
3309000000, -1.233604e+001,
3310000000, -1.234305e+001,
3311000000, -1.235149e+001,
3312000000, -1.236531e+001,
3313000000, -1.237844e+001,
3314000000, -1.239841e+001,
3315000000, -1.243051e+001,
3316000000, -1.245856e+001,
3317000000, -1.249917e+001,
3318000000, -1.254234e+001,
3319000000, -1.259273e+001,
3320000000, -1.264113e+001,
3321000000, -1.268553e+001,
3322000000, -1.272526e+001,
3323000000, -1.276647e+001,
3324000000, -1.279597e+001,
3325000000, -1.282252e+001,
3326000000, -1.284950e+001,
3327000000, -1.287523e+001,
3328000000, -1.289848e+001,
3329000000, -1.292126e+001,
3330000000, -1.294351e+001,
3331000000, -1.296647e+001,
3332000000, -1.299955e+001,
3333000000, -1.302684e+001,
3334000000, -1.305699e+001,
3335000000, -1.308902e+001,
3336000000, -1.312691e+001,
3337000000, -1.316759e+001,
3338000000, -1.321511e+001,
3339000000, -1.326360e+001,
3340000000, -1.331399e+001,
3341000000, -1.336683e+001,
3342000000, -1.340899e+001,
3343000000, -1.345224e+001,
3344000000, -1.349116e+001,
3345000000, -1.352097e+001,
3346000000, -1.355433e+001,
3347000000, -1.358029e+001,
3348000000, -1.360878e+001,
3349000000, -1.363453e+001,
3350000000, -1.366040e+001,
3351000000, -1.368021e+001,
3352000000, -1.370047e+001,
3353000000, -1.371730e+001,
3354000000, -1.372955e+001,
3355000000, -1.373817e+001,
3356000000, -1.374589e+001,
3357000000, -1.375566e+001,
3358000000, -1.376482e+001,
3359000000, -1.377621e+001,
3360000000, -1.378061e+001,
3361000000, -1.379654e+001,
3362000000, -1.381213e+001,
3363000000, -1.382475e+001,
3364000000, -1.384173e+001,
3365000000, -1.384571e+001,
3366000000, -1.385476e+001,
3367000000, -1.387119e+001,
3368000000, -1.388369e+001,
3369000000, -1.390046e+001,
3370000000, -1.392944e+001,
3371000000, -1.396184e+001,
3372000000, -1.399807e+001,
3373000000, -1.402484e+001,
3374000000, -1.406526e+001,
3375000000, -1.409739e+001,
3376000000, -1.412710e+001,
3377000000, -1.415791e+001,
3378000000, -1.417732e+001,
3379000000, -1.419436e+001,
3380000000, -1.421108e+001,
3381000000, -1.422156e+001,
3382000000, -1.423263e+001,
3383000000, -1.424718e+001,
3384000000, -1.426492e+001,
3385000000, -1.429213e+001,
3386000000, -1.432102e+001,
3387000000, -1.435392e+001,
3388000000, -1.438873e+001,
3389000000, -1.443464e+001,
3390000000, -1.447410e+001,
3391000000, -1.452386e+001,
3392000000, -1.457259e+001,
3393000000, -1.462379e+001,
3394000000, -1.467529e+001,
3395000000, -1.473116e+001,
3396000000, -1.478603e+001,
3397000000, -1.484216e+001,
3398000000, -1.490358e+001,
3399000000, -1.496305e+001,
3400000000, -1.502130e+001,
3401000000, -1.508030e+001,
3402000000, -1.513410e+001,
3403000000, -1.518600e+001,
3404000000, -1.522696e+001,
3405000000, -1.526670e+001,
3406000000, -1.529657e+001,
3407000000, -1.532289e+001,
3408000000, -1.535201e+001,
3409000000, -1.537525e+001,
3410000000, -1.539613e+001,
3411000000, -1.541431e+001,
3412000000, -1.543540e+001,
3413000000, -1.545410e+001,
3414000000, -1.548393e+001,
3415000000, -1.550934e+001,
