"S11 Log Mag"
"Frequency (Hz)","dB",
3000000000, -7.573023e+000,
3001000000, -7.580070e+000,
3002000000, -7.599484e+000,
3003000000, -7.629771e+000,
3004000000, -7.639974e+000,
3005000000, -7.660949e+000,
3006000000, -7.678714e+000,
3007000000, -7.702580e+000,
3008000000, -7.710375e+000,
3009000000, -7.729549e+000,
3010000000, -7.742854e+000,
3011000000, -7.746335e+000,
3012000000, -7.766071e+000,
3013000000, -7.777825e+000,
3014000000, -7.771787e+000,
3015000000, -7.787390e+000,
3016000000, -7.804791e+000,
3017000000, -7.815391e+000,
3018000000, -7.819768e+000,
3019000000, -7.828224e+000,
3020000000, -7.858979e+000,
3021000000, -7.874152e+000,
3022000000, -7.892251e+000,
3023000000, -7.901278e+000,
3024000000, -7.933368e+000,
3025000000, -7.939450e+000,
3026000000, -7.959644e+000,
3027000000, -7.966683e+000,
3028000000, -7.981755e+000,
3029000000, -7.990425e+000,
3030000000, -8.001524e+000,
3031000000, -8.012869e+000,
3032000000, -8.026678e+000,
3033000000, -8.038446e+000,
3034000000, -8.053962e+000,
3035000000, -8.062729e+000,
3036000000, -8.071988e+000,
3037000000, -8.083868e+000,
3038000000, -8.082892e+000,
3039000000, -8.094427e+000,
3040000000, -8.091208e+000,
3041000000, -8.102352e+000,
3042000000, -8.105617e+000,
3043000000, -8.106965e+000,
3044000000, -8.136351e+000,
3045000000, -8.139709e+000,
3046000000, -8.166532e+000,
3047000000, -8.193033e+000,
3048000000, -8.226338e+000,
3049000000, -8.242832e+000,
3050000000, -8.263468e+000,
3051000000, -8.297621e+000,
3052000000, -8.323696e+000,
3053000000, -8.343594e+000,
3054000000, -8.368816e+000,
3055000000, -8.391786e+000,
3056000000, -8.406192e+000,
3057000000, -8.409536e+000,
3058000000, -8.426759e+000,
3059000000, -8.435174e+000,
3060000000, -8.439528e+000,
3061000000, -8.438789e+000,
3062000000, -8.448656e+000,
3063000000, -8.458130e+000,
3064000000, -8.474479e+000,
3065000000, -8.491228e+000,
3066000000, -8.509072e+000,
3067000000, -8.534392e+000,
3068000000, -8.558519e+000,
3069000000, -8.582504e+000,
3070000000, -8.604194e+000,
3071000000, -8.626807e+000,
3072000000, -8.643505e+000,
3073000000, -8.664586e+000,
3074000000, -8.668378e+000,
3075000000, -8.684700e+000,
3076000000, -8.715281e+000,
3077000000, -8.708251e+000,
3078000000, -8.732041e+000,
3079000000, -8.746429e+000,
3080000000, -8.780916e+000,
3081000000, -8.796035e+000,
3082000000, -8.813983e+000,
3083000000, -8.830855e+000,
3084000000, -8.847611e+000,
3085000000, -8.869975e+000,
3086000000, -8.900160e+000,
3087000000, -8.914685e+000,
3088000000, -8.938971e+000,
3089000000, -8.954029e+000,
3090000000, -8.971552e+000,
