"S11 Log Mag"
"Frequency (Hz)","dB",
3000000000, -6.571280e-001,
3001000000, -6.604010e-001,
3002000000, -6.566011e-001,
3003000000, -6.645647e-001,
3004000000, -6.640763e-001,
3005000000, -6.570667e-001,
3006000000, -6.565599e-001,
3007000000, -6.700271e-001,
3008000000, -6.721190e-001,
3009000000, -6.754051e-001,
3010000000, -6.706318e-001,
3011000000, -6.761984e-001,
3012000000, -6.762353e-001,
3013000000, -6.811066e-001,
3014000000, -6.811537e-001,
3015000000, -6.752985e-001,
3016000000, -6.868984e-001,
3017000000, -6.889776e-001,
3018000000, -6.891024e-001,
3019000000, -6.845747e-001,
3020000000, -6.921833e-001,
3021000000, -6.926507e-001,
3022000000, -6.881036e-001,
3023000000, -6.905285e-001,
3024000000, -6.999849e-001,
3025000000, -6.880454e-001,
3026000000, -6.856539e-001,
3027000000, -6.794526e-001,
3028000000, -6.889362e-001,
3029000000, -6.954694e-001,
3030000000, -6.992273e-001,
3031000000, -6.866604e-001,
3032000000, -6.844347e-001,
3033000000, -6.891957e-001,
3034000000, -6.916438e-001,
3035000000, -6.930721e-001,
3036000000, -6.952785e-001,
3037000000, -6.860077e-001,
3038000000, -6.838660e-001,
3039000000, -6.928258e-001,
3040000000, -6.779461e-001,
3041000000, -6.822017e-001,
3042000000, -6.732360e-001,
3043000000, -6.814057e-001,
3044000000, -6.777483e-001,
3045000000, -6.763561e-001,
3046000000, -6.818485e-001,
3047000000, -6.744106e-001,
3048000000, -6.780747e-001,
3049000000, -6.751946e-001,
3050000000, -6.718677e-001,
3051000000, -6.685405e-001,
3052000000, -6.753075e-001,
3053000000, -6.678042e-001,
3054000000, -6.762494e-001,
3055000000, -6.839262e-001,
3056000000, -6.769576e-001,
3057000000, -6.820852e-001,
3058000000, -6.821063e-001,
3059000000, -6.798908e-001,
3060000000, -6.870262e-001,
3061000000, -6.892262e-001,
3062000000, -6.962423e-001,
3063000000, -6.907668e-001,
3064000000, -6.917864e-001,
3065000000, -7.001312e-001,
3066000000, -6.849306e-001,
3067000000, -6.923720e-001,
3068000000, -6.939065e-001,
3069000000, -6.895642e-001,
3070000000, -6.913189e-001,
3071000000, -6.919429e-001,
3072000000, -6.985214e-001,
3073000000, -6.983725e-001,
3074000000, -6.936946e-001,
3075000000, -6.902153e-001,
3076000000, -6.989717e-001,
3077000000, -6.944005e-001,
3078000000, -7.014066e-001,
3079000000, -7.072868e-001,
3080000000, -7.082039e-001,
3081000000, -7.123967e-001,
3082000000, -7.010967e-001,
3083000000, -7.128378e-001,
3084000000, -7.092451e-001,
3085000000, -6.996268e-001,
3086000000, -7.111687e-001,
3087000000, -7.082224e-001,
3088000000, -7.184734e-001,
3089000000, -7.206144e-001,
3090000000, -7.169906e-001,
3091000000, -7.286330e-001,
3092000000, -7.210803e-001,
3093000000, -7.224796e-001,
3094000000, -7.222538e-001,
3095000000, -7.223454e-001,
3096000000, -7.153900e-001,
3097000000, -7.155638e-001,
3098000000, -7.179027e-001,
3099000000, -7.201284e-001,
3100000000, -7.169240e-001,
3101000000, -7.163296e-001,
3102000000, -7.175693e-001,
3103000000, -7.208033e-001,
3104000000, -7.136284e-001,
3105000000, -7.092323e-001,
3106000000, -7.129416e-001,
3107000000, -7.199926e-001,
3108000000, -7.136998e-001,
3109000000, -7.201015e-001,
3110000000, -7.187353e-001,
3111000000, -7.168142e-001,
3112000000, -7.243379e-001,
3113000000, -7.206517e-001,
3114000000, -7.235487e-001,
3115000000, -7.248113e-001,
3116000000, -7.320372e-001,
3117000000, -7.294933e-001,
3118000000, -7.327791e-001,
3119000000, -7.289662e-001,
3120000000, -7.288777e-001,
3121000000, -7.403704e-001,
3122000000, -7.344002e-001,
3123000000, -7.424983e-001,
3124000000, -7.280557e-001,
3125000000, -7.343636e-001,
3126000000, -7.168745e-001,
3127000000, -7.281704e-001,
3128000000, -7.283482e-001,
3129000000, -7.349976e-001,
3130000000, -7.261240e-001,
3131000000, -7.332491e-001,
3132000000, -7.298891e-001,
3133000000, -7.356930e-001,
3134000000, -7.334158e-001,
3135000000, -7.393131e-001,
3136000000, -7.362970e-001,
3137000000, -7.454968e-001,
3138000000, -7.413381e-001,
3139000000, -7.416340e-001,
3140000000, -7.350076e-001,
3141000000, -7.263705e-001,
3142000000, -7.433970e-001,
3143000000, -7.506261e-001,
3144000000, -7.415916e-001,
3145000000, -7.445869e-001,
3146000000, -7.628576e-001,
3147000000, -7.427902e-001,
3148000000, -7.414862e-001,
3149000000, -7.429723e-001,
3150000000, -7.342190e-001,
3151000000, -7.201694e-001,
3152000000, -7.488040e-001,
3153000000, -7.548217e-001,
3154000000, -7.463481e-001,
3155000000, -7.475852e-001,
3156000000, -7.302057e-001,
3157000000, -7.299767e-001,
3158000000, -7.328894e-001,
3159000000, -7.551377e-001,
3160000000, -7.410909e-001,
3161000000, -7.459657e-001,
3162000000, -7.412799e-001,
3163000000, -7.587661e-001,
3164000000, -7.593237e-001,
3165000000, -7.522449e-001,
3166000000, -7.587074e-001,
3167000000, -7.599090e-001,
3168000000, -7.527707e-001,
3169000000, -7.585110e-001,
3170000000, -7.532616e-001,
3171000000, -7.521584e-001,
3172000000, -7.587844e-001,
3173000000, -7.625732e-001,
3174000000, -7.645024e-001,
3175000000, -7.600359e-001,
3176000000, -7.597662e-001,
3177000000, -7.575268e-001,
3178000000, -7.696196e-001,
3179000000, -7.612209e-001,
3180000000, -7.531014e-001,
3181000000, -7.715755e-001,
3182000000, -7.639598e-001,
3183000000, -7.550348e-001,
3184000000, -7.752311e-001,
3185000000, -7.679223e-001,
3186000000, -7.661402e-001,
3187000000, -7.563404e-001,
3188000000, -7.560519e-001,
3189000000, -7.834113e-001,
3190000000, -7.848130e-001,
3191000000, -7.702770e-001,
3192000000, -7.767340e-001,
3193000000, -7.664692e-001,
3194000000, -7.746807e-001,
3195000000, -7.764702e-001,
3196000000, -7.805756e-001,
3197000000, -7.758134e-001,
3198000000, -7.742645e-001,
3199000000, -7.840176e-001,
3200000000, -7.759221e-001,
3201000000, -7.918757e-001,
3202000000, -7.942450e-001,
3203000000, -7.859434e-001,
3204000000, -7.933833e-001,
3205000000, -7.847006e-001,
3206000000, -7.885656e-001,
3207000000, -7.887923e-001,
3208000000, -7.629304e-001,
3209000000, -7.889085e-001,
3210000000, -8.005191e-001,
3211000000, -7.909192e-001,
3212000000, -7.835296e-001,
3213000000, -7.996790e-001,
3214000000, -7.946177e-001,
3215000000, -7.931615e-001,
3216000000, -8.036410e-001,
3217000000, -7.888607e-001,
3218000000, -8.114783e-001,
3219000000, -7.964849e-001,
3220000000, -7.977707e-001,
3221000000, -7.972639e-001,
3222000000, -8.115414e-001,
3223000000, -8.058187e-001,
3224000000, -8.132044e-001,
3225000000, -8.122904e-001,
3226000000, -8.167059e-001,
3227000000, -8.134763e-001,
3228000000, -8.102947e-001,
3229000000, -8.145460e-001,
3230000000, -8.208715e-001,
3231000000, -8.141707e-001,
3232000000, -8.146213e-001,
3233000000, -8.167625e-001,
3234000000, -8.101687e-001,
3235000000, -8.050137e-001,
3236000000, -8.042980e-001,
3237000000, -8.135657e-001,
3238000000, -8.082494e-001,
3239000000, -8.213091e-001,
3240000000, -8.102828e-001,
3241000000, -8.088313e-001,
3242000000, -8.214982e-001,
3243000000, -8.216438e-001,
3244000000, -8.206345e-001,
3245000000, -8.316566e-001,
3246000000, -8.014364e-001,
3247000000, -8.193280e-001,
3248000000, -8.168133e-001,
3249000000, -8.277934e-001,
3250000000, -8.096945e-001,
3251000000, -8.333988e-001,
3252000000, -8.332868e-001,
3253000000, -8.228374e-001,
3254000000, -8.235924e-001,
3255000000, -8.225864e-001,
3256000000, -8.242323e-001,
3257000000, -8.260030e-001,
3258000000, -8.230863e-001,
3259000000, -8.262931e-001,
3260000000, -8.277863e-001,
3261000000, -8.356007e-001,
3262000000, -8.289465e-001,
3263000000, -8.362308e-001,
3264000000, -8.351296e-001,
3265000000, -8.450211e-001,
3266000000, -8.371698e-001,
3267000000, -8.348730e-001,
3268000000, -8.412260e-001,
3269000000, -8.478000e-001,
3270000000, -8.402527e-001,
3271000000, -8.466742e-001,
3272000000, -8.365830e-001,
3273000000, -8.573290e-001,
3274000000, -8.574957e-001,
3275000000, -8.500906e-001,
3276000000, -8.688896e-001,
3277000000, -8.696424e-001,
3278000000, -8.699602e-001,
3279000000, -8.591762e-001,
3280000000, -8.648756e-001,
3281000000, -8.609470e-001,
3282000000, -8.677819e-001,
3283000000, -8.708262e-001,
3284000000, -8.574976e-001,
3285000000, -8.661368e-001,
3286000000, -8.707607e-001,
3287000000, -8.802795e-001,
3288000000, -8.735439e-001,
3289000000, -8.746520e-001,
3290000000, -8.819231e-001,
3291000000, -8.785769e-001,
3292000000, -8.897361e-001,
3293000000, -8.888668e-001,
3294000000, -8.969798e-001,
3295000000, -8.987553e-001,
3296000000, -8.992466e-001,
3297000000, -8.946055e-001,
3298000000, -9.090334e-001,
3299000000, -8.923160e-001,
3300000000, -9.149237e-001,
3301000000, -9.087957e-001,
3302000000, -9.155326e-001,
3303000000, -9.111260e-001,
3304000000, -9.045885e-001,
3305000000, -9.237693e-001,
3306000000, -9.065893e-001,
3307000000, -9.189006e-001,
3308000000, -9.052041e-001,
3309000000, -9.258813e-001,
3310000000, -9.352307e-001,
3311000000, -9.142857e-001,
3312000000, -9.221663e-001,
3313000000, -9.111260e-001,
3314000000, -9.165997e-001,
3315000000, -9.232983e-001,
3316000000, -9.204465e-001,
3317000000, -9.219130e-001,
3318000000, -9.258803e-001,
3319000000, -9.302600e-001,
3320000000, -9.304626e-001,
3321000000, -9.325555e-001,
3322000000, -9.397286e-001,
3323000000, -9.367175e-001,
3324000000, -9.361596e-001,
3325000000, -9.324468e-001,
3326000000, -9.422453e-001,
3327000000, -9.344296e-001,
3328000000, -9.369508e-001,
3329000000, -9.383135e-001,
3330000000, -9.453186e-001,
3331000000, -9.278502e-001,
3332000000, -9.309693e-001,
3333000000, -9.346829e-001,
3334000000, -9.319171e-001,
3335000000, -9.290649e-001,
3336000000, -9.391786e-001,
