"S11 Log Mag"
"Frequency (Hz)","dB",
3000000000, -1.078093e+000,
3001000000, -1.078011e+000,
3002000000, -1.076578e+000,
3003000000, -1.079047e+000,
3004000000, -1.083959e+000,
3005000000, -1.083774e+000,
3006000000, -1.085279e+000,
3007000000, -1.088391e+000,
3008000000, -1.091124e+000,
3009000000, -1.091929e+000,
3010000000, -1.092551e+000,
3011000000, -1.092151e+000,
3012000000, -1.094241e+000,
3013000000, -1.096552e+000,
3014000000, -1.096002e+000,
3015000000, -1.095418e+000,
3016000000, -1.094727e+000,
3017000000, -1.097260e+000,
3018000000, -1.096190e+000,
3019000000, -1.092887e+000,
3020000000, -1.093247e+000,
3021000000, -1.091244e+000,
3022000000, -1.090812e+000,
3023000000, -1.091146e+000,
3024000000, -1.089941e+000,
3025000000, -1.087903e+000,
3026000000, -1.087016e+000,
3027000000, -1.086084e+000,
3028000000, -1.086931e+000,
3029000000, -1.090070e+000,
3030000000, -1.091821e+000,
3031000000, -1.094876e+000,
3032000000, -1.095997e+000,
3033000000, -1.099622e+000,
3034000000, -1.098591e+000,
3035000000, -1.103646e+000,
3036000000, -1.103118e+000,
3037000000, -1.102151e+000,
3038000000, -1.101501e+000,
3039000000, -1.101557e+000,
3040000000, -1.099726e+000,
3041000000, -1.096760e+000,
3042000000, -1.097426e+000,
3043000000, -1.096860e+000,
3044000000, -1.095581e+000,
3045000000, -1.096010e+000,
3046000000, -1.095431e+000,
3047000000, -1.094952e+000,
3048000000, -1.096536e+000,
3049000000, -1.096410e+000,
3050000000, -1.097136e+000,
3051000000, -1.100242e+000,
3052000000, -1.099294e+000,
3053000000, -1.101946e+000,
3054000000, -1.102874e+000,
3055000000, -1.104733e+000,
3056000000, -1.105174e+000,
3057000000, -1.109046e+000,
3058000000, -1.108252e+000,
3059000000, -1.114033e+000,
3060000000, -1.117605e+000,
3061000000, -1.119259e+000,
3062000000, -1.118966e+000,
3063000000, -1.123656e+000,
3064000000, -1.122681e+000,
3065000000, -1.123504e+000,
3066000000, -1.122368e+000,
3067000000, -1.126504e+000,
3068000000, -1.122785e+000,
3069000000, -1.124509e+000,
3070000000, -1.124114e+000,
3071000000, -1.126479e+000,
3072000000, -1.126647e+000,
3073000000, -1.125521e+000,
3074000000, -1.126437e+000,
3075000000, -1.125459e+000,
3076000000, -1.125656e+000,
3077000000, -1.127687e+000,
3078000000, -1.126736e+000,
3079000000, -1.126960e+000,
3080000000, -1.130211e+000,
3081000000, -1.135672e+000,
3082000000, -1.132568e+000,
3083000000, -1.131656e+000,
3084000000, -1.135138e+000,
3085000000, -1.134283e+000,
3086000000, -1.135720e+000,
3087000000, -1.137116e+000,
3088000000, -1.135962e+000,
3089000000, -1.136993e+000,
3090000000, -1.132412e+000,
3091000000, -1.137004e+000,
3092000000, -1.132934e+000,
3093000000, -1.130794e+000,
3094000000, -1.129065e+000,
3095000000, -1.128152e+000,
3096000000, -1.128679e+000,
3097000000, -1.130357e+000,
3098000000, -1.128540e+000,
3099000000, -1.129166e+000,
3100000000, -1.129991e+000,
3101000000, -1.129526e+000,
3102000000, -1.131025e+000,
3103000000, -1.131353e+000,
3104000000, -1.133309e+000,
3105000000, -1.134722e+000,
3106000000, -1.135809e+000,
3107000000, -1.139663e+000,
3108000000, -1.142209e+000,
3109000000, -1.145086e+000,
3110000000, -1.150973e+000,
3111000000, -1.152609e+000,
3112000000, -1.156119e+000,
3113000000, -1.159420e+000,
3114000000, -1.158723e+000,
3115000000, -1.160514e+000,
3116000000, -1.162713e+000,
3117000000, -1.162978e+000,
3118000000, -1.164036e+000,
3119000000, -1.166798e+000,
3120000000, -1.163691e+000,
3121000000, -1.166478e+000,
3122000000, -1.165326e+000,
3123000000, -1.166211e+000,
3124000000, -1.166966e+000,
3125000000, -1.166345e+000,
3126000000, -1.167944e+000,
3127000000, -1.167683e+000,
3128000000, -1.166722e+000,
3129000000, -1.166459e+000,
3130000000, -1.166773e+000,
3131000000, -1.169140e+000,
3132000000, -1.170406e+000,
3133000000, -1.172996e+000,
3134000000, -1.174561e+000,
3135000000, -1.176112e+000,
3136000000, -1.176382e+000,
3137000000, -1.177399e+000,
3138000000, -1.180820e+000,
3139000000, -1.179333e+000,
3140000000, -1.179647e+000,
3141000000, -1.182000e+000,
3142000000, -1.179200e+000,
3143000000, -1.183554e+000,
3144000000, -1.178797e+000,
3145000000, -1.177768e+000,
3146000000, -1.184556e+000,
3147000000, -1.183155e+000,
3148000000, -1.184358e+000,
3149000000, -1.181483e+000,
3150000000, -1.180846e+000,
3151000000, -1.181125e+000,
3152000000, -1.181557e+000,
3153000000, -1.180835e+000,
3154000000, -1.175701e+000,
3155000000, -1.178936e+000,
3156000000, -1.178380e+000,
3157000000, -1.180491e+000,
3158000000, -1.181534e+000,
3159000000, -1.186086e+000,
3160000000, -1.189312e+000,
3161000000, -1.190203e+000,
3162000000, -1.194041e+000,
3163000000, -1.196095e+000,
3164000000, -1.200105e+000,
3165000000, -1.201414e+000,
3166000000, -1.201009e+000,
3167000000, -1.204579e+000,
3168000000, -1.205852e+000,
3169000000, -1.206415e+000,
3170000000, -1.208356e+000,
3171000000, -1.204522e+000,
3172000000, -1.207032e+000,
3173000000, -1.209045e+000,
3174000000, -1.207625e+000,
3175000000, -1.208687e+000,
3176000000, -1.208032e+000,
3177000000, -1.211236e+000,
3178000000, -1.211599e+000,
3179000000, -1.213277e+000,
3180000000, -1.216246e+000,
3181000000, -1.215258e+000,
3182000000, -1.218242e+000,
3183000000, -1.219638e+000,
3184000000, -1.223792e+000,
3185000000, -1.225821e+000,
3186000000, -1.225349e+000,
3187000000, -1.226401e+000,
