FILENAME,E:\T_23\23_USP\ACQUIREDDATA\1AHHF08.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,8,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-067.286,031.6318,-043.972,069.1975,
-067.094,035.3971,-043.988,069.1909,
-066.981,039.8539,-043.983,069.1898,
-066.894,044.1962,-043.989,069.1952,
-066.892,048.6358,-043.983,069.1992,
-066.939,053.0819,-043.980,069.2048,
-066.893,056.1062,-043.975,069.1979,
-066.871,059.2634,-043.969,069.2043,
-066.815,062.2726,-043.953,069.2065,
-066.664,064.3503,-043.937,069.2158,
-066.546,067.1158,-043.937,069.2062,
-066.426,069.6071,-043.936,069.2057,
-066.341,072.2870,-043.938,069.1974,
-066.229,075.8963,-043.950,069.2079,
-066.141,078.8918,-043.961,069.1982,
-066.010,081.6678,-043.976,069.1933,
-065.968,086.5037,-043.969,069.1927,
-065.976,090.6556,-043.968,069.1981,
-066.044,094.3528,-043.968,069.1981,
-066.216,099.8011,-043.963,069.1977,
-066.372,104.5865,-043.959,069.1998,
-066.557,108.7715,-043.943,069.2023,
-066.937,115.4524,-043.935,069.1990,
-067.199,120.3143,-043.927,069.2095,
-067.503,123.4353,-043.927,069.2055,
-067.915,129.6957,-043.943,069.2000,
-068.239,133.7561,-043.950,069.2013,
-068.502,137.3176,-043.955,069.1921,
-069.126,144.5848,-043.954,069.1894,
-069.509,149.1964,-043.956,069.1871,
-069.917,154.3427,-043.941,069.1850,
-070.617,161.9104,-043.928,069.1919,
-071.025,166.7139,-043.930,069.1888,
-071.565,172.0983,-043.920,069.1904,
-072.247,-178.2099,-043.916,069.1857,
-072.755,-171.7653,-043.927,069.1834,
-073.197,-164.2112,-043.931,069.1722,
-073.988,-152.0408,-043.953,069.1655,
-074.613,-144.6175,-043.960,069.1725,
-075.583,-136.2518,-043.980,069.1707,
-077.036,-123.0588,-043.974,069.1787,
-078.064,-114.1041,-043.981,069.1709,
-079.391,-096.5638,-043.977,069.1652,
-080.291,-072.5732,-043.979,069.1636,
-080.534,-059.2776,-043.986,069.1644,
-079.762,-032.4732,-044.002,069.1740,
-078.525,-015.0458,-044.014,069.1777,
-077.612,-003.5816,-044.015,069.1805,
-076.587,010.3660,-044.008,069.1756,
-075.861,021.0118,-044.001,069.1870,
-075.315,029.4171,-043.979,069.1881,
-074.600,042.6748,-043.969,069.1998,
-073.930,050.1876,-043.943,069.1998,
-073.238,056.3523,-043.946,069.2072,
-072.495,065.8188,-043.952,069.2076,
-072.147,071.0141,-043.953,069.2063,
-071.713,077.9892,-043.947,069.2007,
-071.372,087.4543,-043.957,069.2228,
-071.121,094.2583,-043.983,069.2105,
-071.072,102.2239,-043.996,069.2089,
-071.067,111.0280,-043.998,069.1985,
-071.197,118.2130,-043.990,069.2144,
-071.382,127.7477,-043.966,069.2016,
-071.536,138.3580,-043.987,069.1962,
-071.563,145.8868,-043.976,069.2014,
-071.596,155.6781,-043.975,069.1938,
-071.767,163.3080,-043.967,069.2024,
-071.895,169.3319,-043.960,069.2021,
-072.261,177.8334,-043.955,069.2108,
-072.742,-175.9996,-043.951,069.2028,
-073.145,-171.2428,-043.958,069.2059,
-073.946,-162.7870,-043.955,069.2080,
-074.507,-156.0284,-043.962,069.2028,
-075.122,-149.5909,-043.960,069.2023,
-075.927,-142.7546,-043.932,069.2051,
-076.432,-139.7242,-043.926,069.2030,
-077.329,-136.9413,-043.913,069.2069,
-078.651,-137.8130,-043.921,069.2129,
-079.612,-143.0399,-043.927,069.2140,
-081.143,-150.4371,-043.933,069.2076,
-081.747,-165.5656,-043.926,069.2133,
-081.647,-174.7025,-043.928,069.2128,
-080.545,173.2829,-043.946,069.2077,
-078.819,168.4791,-043.957,069.1986,
-077.615,166.0857,-043.957,069.1928,
-075.968,166.7168,-043.960,069.1937,
-074.774,169.2533,-043.965,069.1875,
-073.900,172.4547,-043.965,069.1805,
-072.763,177.4750,-043.967,069.1918,
-071.971,-178.2379,-043.970,069.1894,
-071.268,-173.2753,-043.981,069.1845,
-070.272,-167.0036,-043.973,069.1838,
-069.545,-162.4956,-043.984,069.1754,
-068.963,-157.8066,-043.993,069.1776,
-068.288,-150.9932,-043.991,069.1822,
-067.980,-146.7571,-043.989,069.1825,
-067.680,-141.3609,-043.973,069.1888,
-067.424,-134.7318,-043.959,069.1930,
-067.283,-129.8154,-043.950,069.1928,
-067.093,-123.5781,-043.947,069.1876,
-066.955,-116.0497,-043.953,069.1997,
-066.875,-110.6246,-043.996,069.1902,
-066.878,-103.2523,-043.969,069.1988,
-066.872,-095.4021,-043.990,069.1929,
-066.921,-089.3374,-044.004,069.1879,
-066.946,-080.8554,-044.016,069.1898,
-066.961,-073.0476,-044.017,069.1886,
-066.991,-067.2237,-044.018,069.1796,
-067.231,-058.6696,-043.993,069.1931,
-067.436,-051.9174,-043.993,069.1915,
-067.648,-045.4209,-043.979,069.2033,
-067.897,-035.6580,-043.960,069.2031,
-067.983,-029.5606,-043.959,069.2044,
-068.083,-023.1913,-043.938,069.2160,
-068.207,-015.8567,-043.944,069.2118,
-068.297,-010.9684,-043.956,069.2072,
-068.417,-005.5492,-043.965,069.2209,
-068.483,000.9362,-043.971,069.2078,
-068.575,003.6717,-043.983,069.2126,
-069.014,007.1947,-043.973,069.2244,
-069.587,010.1254,-043.982,069.2149,
-070.227,012.7436,-043.986,069.2165,
-071.284,018.0083,-043.994,069.2181,
-072.077,022.3094,-043.994,069.2123,
-072.573,026.1412,-044.006,069.2152,
-073.140,029.0175,-044.009,069.2012,
-073.892,028.8186,-044.020,069.2090,
-074.433,027.7821,-044.019,069.2098,
-075.191,024.5068,-044.005,069.2112,
-075.536,022.4871,-044.012,069.2156,
-075.710,019.8724,-044.018,069.2098,
-075.183,014.3918,-044.024,069.2158,
-074.814,010.4053,-044.016,069.2193,
-074.246,005.7854,-044.022,069.2115,
-073.547,001.5725,-044.029,069.2182,
-073.139,-000.0697,-044.039,069.2218,
-072.746,-002.6455,-044.044,069.2097,
-072.288,-003.1748,-044.039,069.2210,
-072.029,-003.8008,-044.039,069.2154,
-071.706,-003.9285,-044.016,069.2104,
-071.461,-004.5825,-044.003,069.2186,
-071.271,-003.9150,-043.984,069.2156,
-070.995,-003.1193,-043.971,069.2298,
-070.889,-001.9733,-043.981,069.2136,
-070.837,-000.8079,-043.972,069.2184,
-070.885,001.7538,-043.988,069.2238,
-070.906,004.0117,-043.993,069.2143,
-070.874,005.7686,-044.002,069.2077,
-070.841,010.3279,-044.015,069.2147,
