FILENAME,E:\T_23\23_USP\ACQUIREDDATA\1AHHF14.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,14,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-061.577,083.5368,-042.277,154.7515,
-061.616,085.6954,-042.287,154.7435,
-061.595,088.6588,-042.257,154.7572,
-061.624,091.1529,-042.266,154.7570,
-061.603,094.1544,-042.247,154.7755,
-061.634,096.8579,-042.254,154.7727,
-061.652,100.2782,-042.273,154.7628,
-061.687,103.9613,-042.253,154.7748,
-061.750,108.1912,-042.268,154.7677,
-061.828,110.7985,-042.240,154.7752,
-061.800,114.8737,-042.228,154.7868,
-061.759,119.5267,-042.228,154.7821,
-061.780,122.6335,-042.204,154.7878,
-061.775,127.8213,-042.225,154.7871,
-061.682,132.9803,-042.242,154.7778,
-061.612,137.4734,-042.249,154.7773,
-061.585,144.5176,-042.267,154.7563,
-061.617,149.6682,-042.289,154.7605,
-061.610,153.3982,-042.298,154.7484,
-061.582,158.8088,-042.258,154.7527,
-061.540,163.9593,-042.287,154.7467,
-061.535,168.7650,-042.278,154.7581,
-061.517,177.0912,-042.272,154.7713,
-061.551,-175.6801,-042.282,154.7555,
-061.517,-170.9121,-042.259,154.7465,
-061.503,-161.6386,-042.256,154.7658,
-061.478,-155.9008,-042.270,154.7568,
-061.464,-150.0173,-042.236,154.7730,
-061.503,-138.7579,-042.297,154.7720,
-061.591,-133.0956,-042.297,154.7626,
-061.679,-125.7863,-042.276,154.7625,
-061.875,-115.6704,-042.304,154.7453,
-061.993,-108.0274,-042.302,154.7537,
-062.093,-100.3791,-042.313,154.7402,
-062.177,-089.1941,-042.292,154.7538,
-062.314,-082.4487,-042.315,154.7437,
-062.506,-072.6464,-042.293,154.7396,
-062.824,-059.5452,-042.277,154.7475,
-062.989,-052.1954,-042.283,154.7524,
-063.154,-041.5936,-042.281,154.7434,
-063.296,-028.1535,-042.294,154.7262,
-063.465,-019.5285,-042.306,154.7185,
-063.743,-006.6661,-042.292,154.7013,
-063.992,007.9272,-042.278,154.7119,
-064.052,017.1484,-042.270,154.7267,
-063.998,031.3730,-042.291,154.7291,
-063.920,045.4143,-042.307,154.7346,
-063.836,055.4401,-042.316,154.7263,
-063.684,071.6222,-042.299,154.7397,
-063.551,084.2254,-042.270,154.7410,
-063.393,093.9729,-042.269,154.7456,
-063.174,111.0152,-042.271,154.7419,
-062.998,121.5599,-042.290,154.7424,
-062.816,133.4185,-042.300,154.7511,
-062.567,149.3873,-042.243,154.7567,
-062.434,159.8447,-042.231,154.7604,
-062.278,172.5757,-042.265,154.7481,
-062.241,-172.3415,-042.222,154.7511,
-062.198,-161.4493,-042.246,154.7485,
-062.192,-148.3546,-042.257,154.7596,
-062.142,-132.6710,-042.230,154.7823,
-062.114,-121.4464,-042.249,154.7631,
-062.188,-106.7507,-042.189,154.7823,
-062.398,-091.1965,-042.246,154.7761,
-062.649,-079.7849,-042.214,154.7634,
-062.990,-062.8897,-042.256,154.7571,
-063.235,-046.0576,-042.249,154.7505,
-063.447,-032.0538,-042.244,154.7498,
-063.692,-012.0340,-042.240,154.7309,
-063.937,002.8988,-042.228,154.7426,
-064.218,017.5699,-042.218,154.7387,
-064.588,040.4689,-042.214,154.7500,
-064.765,057.4683,-042.217,154.7567,
-064.815,075.7828,-042.217,154.7512,
-064.799,098.1522,-042.184,154.7611,
-064.670,115.2837,-042.188,154.7531,
-064.434,134.3915,-042.230,154.7420,
-064.150,154.9892,-042.255,154.7165,
-064.025,169.4222,-042.218,154.7245,
-063.816,-173.1704,-042.230,154.7278,
-063.577,-154.7735,-042.244,154.7347,
-063.428,-141.4504,-042.248,154.7614,
-063.241,-124.2241,-042.255,154.7483,
-063.187,-107.4172,-042.240,154.7341,
-063.211,-094.6522,-042.212,154.7630,
-063.371,-077.4793,-042.236,154.7454,
-063.628,-061.4262,-042.213,154.7521,
-063.908,-049.0792,-042.223,154.7576,
-064.466,-030.8034,-042.216,154.7447,
-065.031,-016.3820,-042.207,154.7449,
-065.670,-002.5320,-042.229,154.7380,
-066.589,020.2238,-042.246,154.7231,
-067.191,038.5271,-042.233,154.7172,
-067.762,056.6230,-042.253,154.7130,
-068.513,082.1608,-042.275,154.7068,
-068.853,101.9465,-042.258,154.7131,
-068.937,124.7601,-042.233,154.6944,
-068.799,151.6082,-042.249,154.7029,
-068.582,168.0175,-042.217,154.7141,
-068.214,-170.7131,-042.197,154.7159,
-067.396,-148.0701,-042.218,154.7080,
-066.829,-132.9350,-042.204,154.7138,
-066.235,-114.0618,-042.247,154.7280,
-065.553,-095.3184,-042.215,154.7271,
-065.058,-083.0327,-042.225,154.7256,
-064.367,-066.4524,-042.237,154.7304,
-063.854,-052.4738,-042.268,154.7193,
-063.562,-042.2961,-042.260,154.7363,
-063.183,-027.7428,-042.268,154.7193,
-063.079,-016.0113,-042.256,154.7095,
-063.015,-005.4463,-042.279,154.7146,
-063.121,009.2017,-042.308,154.7069,
-063.213,021.0291,-042.290,154.7082,
-063.294,033.3070,-042.264,154.7433,
-063.413,049.6491,-042.250,154.7372,
-063.608,059.9309,-042.286,154.7330,
-063.898,071.7063,-042.284,154.7113,
-064.274,087.0047,-042.252,154.7272,
-064.528,098.2063,-042.259,154.7013,
-064.795,112.3810,-042.258,154.7114,
-064.868,128.0166,-042.272,154.7079,
-064.883,140.1267,-042.280,154.7027,
-064.826,154.5638,-042.304,154.6991,
-064.698,168.3756,-042.285,154.6955,
-064.556,179.8029,-042.258,154.7042,
-064.212,-166.0270,-042.290,154.6970,
-063.829,-155.2842,-042.284,154.7113,
-063.556,-145.5721,-042.260,154.7243,
-063.225,-132.8711,-042.261,154.7364,
-062.917,-124.8441,-042.281,154.7346,
-062.574,-117.0436,-042.253,154.7344,
-062.288,-107.2135,-042.296,154.7322,
-062.107,-100.8527,-042.305,154.7303,
-061.971,-094.2745,-042.288,154.7413,
-061.858,-086.2772,-042.276,154.7450,
-061.817,-080.9133,-042.297,154.7378,
-061.749,-073.2539,-042.303,154.7299,
-061.586,-065.4564,-042.295,154.7335,
-061.496,-060.6163,-042.309,154.7572,
-061.449,-054.1265,-042.321,154.7326,
-061.451,-047.1781,-042.282,154.7460,
-061.381,-042.0277,-042.272,154.7421,
-061.266,-035.4245,-042.270,154.7331,
-061.179,-030.5470,-042.292,154.7221,
-061.130,-026.4233,-042.325,154.7133,
-061.060,-020.6159,-042.340,154.7155,
-061.010,-015.9868,-042.310,154.7111,
-061.010,-013.1184,-042.311,154.7081,
-061.076,-007.7714,-042.307,154.7027,
