FILENAME,E:\T_23\23_USP\ACQUIREDDATA\1AHVF12.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,12.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-059.976,-131.4627,-055.103,152.1564,
-060.124,-133.9675,-055.127,152.1528,
-060.356,-133.9067,-055.372,152.1136,
-060.689,-133.3215,-055.379,152.1151,
-060.850,-130.8793,-055.381,152.1158,
-060.791,-129.1427,-055.475,152.0823,
-060.554,-128.4910,-055.389,152.1163,
-060.221,-128.4286,-055.387,152.1273,
-059.967,-128.1864,-055.350,152.1302,
-059.699,-127.3166,-055.457,152.1159,
-059.444,-126.8308,-055.507,152.1046,
-059.084,-124.4496,-055.552,152.1371,
-058.692,-123.3894,-055.578,152.1423,
-058.309,-123.0909,-055.428,152.1772,
-057.952,-122.0168,-055.450,152.1667,
-057.750,-121.3979,-055.547,152.1571,
-057.556,-120.4167,-055.462,152.1830,
-057.264,-116.1025,-055.509,152.2009,
-057.035,-113.4826,-055.439,152.1946,
-056.803,-110.4982,-055.347,152.2175,
-056.766,-106.8189,-055.439,152.2027,
-056.908,-103.2286,-055.393,152.1831,
-057.084,-096.8231,-055.406,152.2091,
-056.953,-089.4928,-055.450,152.1975,
-056.563,-083.7753,-055.404,152.2022,
-055.638,-075.9943,-055.438,152.2209,
-055.017,-072.2004,-055.318,152.2598,
-054.668,-070.1155,-055.227,152.2843,
-054.331,-065.1051,-055.411,152.2634,
-054.112,-059.6824,-055.347,152.2729,
-053.883,-055.2674,-055.438,152.2769,
-053.537,-048.2561,-055.240,152.3347,
-053.219,-043.0760,-055.292,152.3539,
-052.967,-038.4794,-055.373,152.3312,
-052.736,-031.7980,-055.317,152.3045,
-052.655,-026.6503,-055.439,152.3074,
-052.696,-022.3742,-055.490,152.2426,
-052.887,-015.0099,-055.468,152.2238,
-053.121,-008.2456,-055.437,152.2400,
-053.452,-001.6585,-055.271,152.2387,
-053.864,008.5071,-055.437,152.2373,
-054.156,017.0047,-055.331,152.2715,
-054.399,026.7430,-055.285,152.3086,
-054.687,038.4862,-055.249,152.3425,
-054.975,048.0441,-055.258,152.3015,
-055.372,059.4993,-055.217,152.2716,
-055.499,075.6495,-055.329,152.2262,
-055.384,087.0455,-055.248,152.2454,
-054.864,103.7364,-055.324,152.2189,
-054.322,116.3768,-055.261,152.2418,
-053.946,126.0255,-055.228,152.2508,
-053.556,140.4593,-055.296,152.2236,
-053.235,153.1357,-055.406,152.1875,
-052.910,163.6761,-055.259,152.1916,
-052.407,178.8235,-055.164,152.1736,
-052.038,-170.0828,-055.199,152.1712,
-051.733,-159.2156,-055.160,152.2451,
-051.356,-144.9019,-055.146,152.3221,
-051.062,-133.3834,-055.242,152.3133,
-050.680,-121.4946,-055.396,152.2547,
-050.078,-107.7403,-055.396,152.2357,
-049.661,-095.9426,-055.409,152.1988,
-049.345,-085.0011,-055.372,152.2319,
-049.018,-071.4156,-055.484,152.2726,
-048.811,-062.5808,-055.219,152.3797,
-048.650,-052.1438,-055.089,152.3790,
-048.551,-040.0792,-055.138,152.3669,
-048.580,-031.1379,-055.194,152.3906,
-048.740,-019.2783,-055.248,152.3311,
-048.974,-006.7296,-055.257,152.2433,
-049.150,003.3554,-055.149,152.2824,
-049.371,017.5544,-055.284,152.3106,
-049.571,028.9579,-055.317,152.3295,
-049.780,040.2203,-055.370,152.3639,
-050.171,054.6212,-055.259,152.3811,
-050.509,066.9637,-055.284,152.3123,
-050.856,080.0839,-055.363,152.2188,
-051.385,094.5446,-055.187,152.2239,
-051.820,106.4954,-055.209,152.2551,
-052.323,121.0259,-055.208,152.2852,
-052.890,138.3313,-055.165,152.2759,
-053.273,151.0744,-055.294,152.2391,
-053.794,166.5565,-055.333,152.1765,
-054.296,-177.5479,-055.298,152.1451,
-054.671,-163.8861,-055.344,152.1865,
-055.092,-147.2321,-055.206,152.2405,
-055.396,-129.4911,-055.202,152.2736,
-055.464,-116.8695,-055.113,152.2889,
-055.383,-099.3061,-055.137,152.2981,
-055.240,-083.3618,-055.188,152.2685,
-055.198,-072.9374,-055.086,152.3203,
-055.246,-058.8794,-055.177,152.3296,
-055.426,-048.5505,-055.104,152.3371,
-055.547,-039.0674,-055.066,152.3288,
-055.634,-025.1976,-055.187,152.3108,
-055.714,-016.2643,-055.031,152.3135,
-055.756,-007.4992,-055.153,152.2662,
-055.839,002.2785,-054.938,152.2955,
-055.854,009.0229,-054.906,152.3074,
-055.903,016.6077,-054.944,152.3340,
-055.983,024.3447,-054.852,152.3305,
-055.901,030.9196,-054.991,152.2861,
-055.807,039.3763,-055.104,152.2815,
-055.607,049.0009,-055.136,152.2702,
-055.408,056.9282,-055.256,152.2858,
-055.202,065.8090,-055.134,152.2775,
-055.014,076.4700,-055.241,152.2525,
-054.899,084.3492,-055.262,152.2205,
-054.689,094.4852,-055.217,152.2284,
-054.468,104.9743,-055.283,152.2086,
-054.235,113.7462,-055.324,152.2233,
-053.955,126.1268,-055.400,152.2181,
-053.845,136.7419,-055.413,152.2054,
-053.832,145.3302,-055.291,152.2163,
-053.985,159.2730,-055.417,152.1616,
-054.214,169.7503,-055.410,152.1464,
-054.412,179.5860,-055.406,152.1345,
-054.701,-165.0682,-055.511,152.1368,
-054.895,-154.1384,-055.397,152.1735,
-055.100,-143.3539,-055.402,152.2079,
-055.452,-127.8908,-055.309,152.2557,
-055.689,-115.9542,-055.221,152.2535,
-055.994,-101.6378,-055.363,152.2223,
-056.275,-084.5328,-055.244,152.2415,
-056.429,-073.5148,-055.393,152.2280,
-056.615,-059.8371,-055.261,152.2480,
-056.821,-044.2849,-055.319,152.2357,
-056.892,-032.2707,-055.449,152.2293,
-056.954,-018.6350,-055.382,152.2431,
-057.165,-006.9936,-055.445,152.1892,
-057.358,003.3103,-055.424,152.1849,
-057.350,020.1919,-055.257,152.2265,
-057.289,033.8565,-055.253,152.2526,
-057.367,044.4650,-055.143,152.2788,
-057.353,060.1799,-055.263,152.2283,
-057.112,071.2696,-055.222,152.2358,
-056.903,080.0814,-055.189,152.2437,
-056.739,090.2384,-055.387,152.1875,
-056.631,098.2130,-055.349,152.1974,
-056.501,105.9942,-055.490,152.1726,
-056.365,115.0212,-055.412,152.1912,
-056.344,122.6867,-055.369,152.1920,
-056.360,130.6617,-055.485,152.1735,
-056.442,138.8476,-055.512,152.1494,
-056.451,145.3971,-055.485,152.1544,
-056.447,153.4755,-055.445,152.1404,
-056.375,161.2307,-055.471,152.1255,
-056.278,166.9129,-055.418,152.1145,
