FILENAME,E:\T_23\23_USP\ACQUIREDDATA\1AVHF12.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,12.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-064.142,168.3003,-037.451,158.9628,
-065.261,167.7763,-037.423,158.9824,
-066.288,168.1064,-037.381,159.0357,
-067.448,169.4999,-037.357,159.0526,
-068.652,173.1752,-037.378,159.0271,
-069.451,176.4444,-037.406,159.0072,
-070.250,-179.8191,-037.418,158.9950,
-070.982,-173.8668,-037.451,158.9821,
-071.369,-165.6686,-037.468,158.9867,
-071.437,-160.5178,-037.484,158.9566,
-071.479,-158.3866,-037.466,158.9997,
-071.894,-157.0320,-037.448,158.9873,
-072.602,-156.6452,-037.429,159.0042,
-073.773,-155.0319,-037.396,159.0097,
-075.354,-153.9829,-037.405,159.0386,
-076.317,-154.5157,-037.401,159.0113,
-078.055,-152.0407,-037.387,159.0191,
-080.114,-149.4628,-037.398,159.0046,
-081.333,-140.1052,-037.426,158.9742,
-080.818,-129.2257,-037.459,158.9705,
-078.492,-122.6285,-037.491,158.9440,
-075.858,-119.1718,-037.514,158.9338,
-072.679,-120.8021,-037.489,158.9535,
-070.084,-125.8487,-037.443,158.9639,
-068.360,-130.9410,-037.420,158.9797,
-066.568,-136.7197,-037.426,158.9634,
-065.009,-139.4610,-037.397,158.9674,
-063.798,-140.7540,-037.343,159.0274,
-062.110,-142.4883,-037.328,159.0022,
-060.849,-143.8998,-037.350,159.0027,
-060.048,-144.5272,-037.378,158.9412,
-059.096,-144.6426,-037.460,158.8861,
-058.502,-143.5098,-037.495,158.8446,
-058.085,-141.8337,-037.479,158.8488,
-057.648,-137.6201,-037.394,158.9036,
-057.345,-133.6622,-037.362,158.9235,
-057.046,-129.1293,-037.353,158.9208,
-056.617,-122.0878,-037.379,158.9254,
-056.355,-116.1495,-037.419,158.9230,
-056.071,-109.0320,-037.439,158.9030,
-055.585,-099.8936,-037.465,158.9021,
-055.143,-092.8559,-037.472,158.8994,
-054.664,-085.7098,-037.459,158.9247,
-054.165,-077.8574,-037.448,158.9079,
-053.904,-071.7037,-037.470,158.9032,
-053.702,-064.9964,-037.483,158.8995,
-053.621,-057.7834,-037.482,158.8970,
-053.706,-052.3100,-037.492,158.8632,
-054.117,-044.8565,-037.489,158.9063,
-054.794,-035.9415,-037.469,158.9009,
-055.403,-027.0203,-037.455,158.9213,
-056.098,-012.5573,-037.445,158.9710,
-056.495,001.2143,-037.457,158.9567,
-056.793,013.8553,-037.493,158.9123,
-056.981,032.3150,-037.526,158.8884,
-056.854,047.0632,-037.512,158.8859,
-056.524,060.2614,-037.495,158.8868,
-055.996,075.2236,-037.466,158.9378,
-055.698,085.3581,-037.420,158.9680,
-055.613,095.1841,-037.403,158.9787,
-055.864,105.6891,-037.395,158.9818,
-056.323,114.5554,-037.386,158.9832,
-056.994,125.9053,-037.387,158.9739,
-057.878,140.5479,-037.401,158.9712,
-058.673,153.0771,-037.419,158.9605,
-059.828,170.2067,-037.437,158.9821,
-060.885,-167.8007,-037.448,158.9718,
-061.274,-148.9976,-037.450,158.9831,
-061.213,-125.8018,-037.448,158.9901,
-061.030,-108.1438,-037.427,158.9867,
-061.012,-095.5235,-037.407,159.0288,
-061.035,-077.9597,-037.365,159.0641,
-061.068,-065.0052,-037.326,159.0879,
-061.244,-055.0922,-037.300,159.0915,
-062.037,-042.7539,-037.304,159.0965,
-063.111,-035.5252,-037.349,159.0829,
-064.699,-030.0183,-037.387,159.0376,
-067.547,-026.7034,-037.427,159.0340,
-070.461,-032.9865,-037.417,159.0321,
-073.177,-062.3156,-037.370,159.0518,
-069.715,-101.4271,-037.289,159.1102,
-066.221,-109.3667,-037.273,159.1421,
-063.222,-109.1649,-037.264,159.1287,
-060.907,-104.8904,-037.335,159.0863,
-059.667,-099.3347,-037.384,159.0337,
-058.520,-089.9308,-037.415,158.9733,
-057.710,-078.5998,-037.420,158.9821,
-057.189,-068.7912,-037.410,158.9861,
-056.669,-055.4459,-037.403,158.9569,
-056.365,-043.3805,-037.412,158.9635,
-056.258,-033.3613,-037.408,158.9680,
-056.395,-018.1629,-037.426,158.9974,
-056.709,-004.5992,-037.433,158.9759,
-057.082,009.0532,-037.414,159.0042,
-057.570,031.1721,-037.393,159.0032,
-057.765,048.4046,-037.388,158.9807,
-057.852,065.9429,-037.407,158.9633,
-057.718,088.6944,-037.447,158.9172,
-057.473,106.3569,-037.461,158.9133,
-057.026,125.5292,-037.493,158.8682,
-056.310,147.3396,-037.472,158.8899,
-055.709,163.1860,-037.461,158.9006,
-055.039,-179.8333,-037.429,158.9252,
-054.325,-162.3102,-037.399,158.9573,
-053.849,-149.3657,-037.405,158.9487,
-053.374,-134.4910,-037.417,158.9276,
-052.973,-119.7626,-037.416,158.9177,
-052.735,-108.7028,-037.414,158.9219,
-052.498,-093.9762,-037.443,158.9704,
-052.346,-080.6398,-037.438,158.9492,
-052.288,-070.4606,-037.433,158.9550,
-052.293,-056.3649,-037.434,158.9402,
-052.359,-044.5040,-037.433,158.9459,
-052.488,-034.0610,-037.429,158.9197,
-052.731,-019.2913,-037.408,158.9637,
-052.955,-008.2277,-037.381,159.0213,
-053.238,002.4998,-037.360,159.0336,
-053.743,017.2991,-037.318,159.0743,
-054.258,028.6797,-037.295,159.0842,
-054.891,040.7786,-037.301,159.0676,
-055.822,054.6934,-037.345,159.0409,
-056.585,065.2968,-037.374,159.0294,
-057.614,077.4491,-037.421,158.9951,
-058.989,091.6150,-037.405,159.0054,
-060.202,102.5996,-037.357,159.0517,
-061.974,116.7213,-037.297,159.0860,
-064.317,132.9087,-037.272,159.1384,
-066.553,147.4893,-037.297,159.1144,
-070.543,178.9047,-037.338,159.1180,
-072.628,-130.9223,-037.388,159.0662,
-071.671,-091.7974,-037.407,159.0568,
-068.595,-051.6214,-037.399,159.0481,
-066.143,-027.5038,-037.395,159.0317,
-064.434,-010.3234,-037.396,159.0433,
-062.374,010.5582,-037.419,159.0453,
-061.135,023.4558,-037.416,159.0274,
-060.245,033.6964,-037.420,159.0222,
-059.333,046.1943,-037.383,159.0640,
-058.818,055.0008,-037.367,159.0208,
-058.432,064.4958,-037.355,159.0221,
-057.984,077.3733,-037.356,159.0619,
-057.656,087.5344,-037.381,159.0291,
-057.340,098.9713,-037.401,159.0156,
-056.968,111.3669,-037.454,158.9538,
-056.776,120.3926,-037.480,158.9205,
-056.652,130.3302,-037.455,158.9435,
-056.619,140.7182,-037.434,158.9345,
-056.663,148.8235,-037.403,158.9813,
