FILENAME,E:\T_23\23_USP\ACQUIREDDATA\1AVVF12.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,12.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-065.757,-083.7786,-038.119,158.6719,
-065.886,-090.4715,-038.075,158.7122,
-065.992,-094.6708,-038.017,158.7685,
-066.091,-098.4745,-038.007,158.7721,
-066.138,-101.3181,-037.999,158.7712,
-066.201,-102.5435,-038.004,158.7789,
-066.248,-103.3650,-038.002,158.7595,
-066.284,-103.4138,-038.019,158.7426,
-066.403,-101.9464,-038.043,158.7231,
-066.324,-098.7720,-038.051,158.7110,
-065.854,-095.5008,-038.084,158.7148,
-064.980,-092.0010,-038.043,158.7427,
-064.248,-090.0388,-038.040,158.7101,
-063.476,-088.6024,-038.028,158.7478,
-062.733,-087.2421,-038.012,158.7442,
-062.227,-086.7302,-037.985,158.7618,
-061.635,-086.4315,-037.961,158.7767,
-061.167,-086.9878,-037.989,158.7417,
-060.928,-087.1151,-038.004,158.7439,
-060.809,-087.1823,-038.047,158.7031,
-060.819,-087.6775,-038.067,158.6873,
-061.017,-088.0594,-038.095,158.6620,
-061.564,-088.3033,-038.088,158.6777,
-062.245,-086.7473,-038.065,158.6598,
-062.839,-084.8830,-038.036,158.7050,
-063.606,-082.1869,-037.996,158.7257,
-064.562,-079.8750,-037.933,158.7876,
-065.769,-076.1030,-037.885,158.8200,
-067.947,-063.5932,-037.889,158.8320,
-069.148,-046.2705,-037.922,158.8053,
-069.310,-031.2678,-037.949,158.7871,
-069.022,-010.4205,-038.030,158.7140,
-068.399,004.3199,-038.069,158.6905,
-067.568,016.0212,-038.072,158.6846,
-066.590,030.5187,-038.001,158.7598,
-065.979,039.0324,-037.971,158.7683,
-065.338,046.0114,-037.933,158.7906,
-064.639,054.7452,-037.968,158.7746,
-064.343,059.9681,-038.031,158.7187,
-064.363,066.3558,-038.096,158.6804,
-064.706,075.8157,-038.116,158.6454,
-064.922,084.8770,-038.128,158.6325,
-065.085,096.0443,-038.132,158.6081,
-065.221,108.9277,-038.114,158.6410,
-065.095,118.8647,-038.106,158.6294,
-065.075,130.1079,-038.101,158.6391,
-065.081,142.7298,-038.087,158.6407,
-065.086,152.2005,-038.116,158.6413,
-065.059,166.2826,-038.088,158.6464,
-064.837,179.5746,-038.061,158.6527,
-064.698,-170.0506,-038.042,158.6859,
-064.715,-156.1706,-038.052,158.6528,
-064.852,-143.7110,-038.069,158.6160,
-064.986,-132.9469,-038.099,158.6301,
-065.038,-116.7519,-038.117,158.6291,
-064.954,-103.6839,-038.117,158.6003,
-064.746,-092.2347,-038.111,158.6215,
-064.420,-077.4217,-038.097,158.6192,
-064.355,-067.3192,-038.082,158.6475,
-064.464,-057.1077,-038.065,158.6302,
-064.859,-043.7049,-038.034,158.6606,
-065.237,-032.3100,-038.022,158.6751,
-065.505,-019.8991,-038.020,158.6720,
-065.799,-005.8725,-038.060,158.6508,
-066.068,004.7172,-038.087,158.6458,
-066.450,017.6874,-038.131,158.6288,
-066.904,031.6363,-038.131,158.6180,
-067.222,042.3452,-038.122,158.6194,
-067.594,053.7421,-038.103,158.6325,
-067.857,063.1981,-038.086,158.6510,
-068.130,069.3089,-038.058,158.6704,
-068.584,079.3131,-038.006,158.7160,
-068.823,085.5175,-037.979,158.7357,
-068.760,088.9842,-037.989,158.7385,
-068.271,091.1149,-038.000,158.7312,
-067.502,092.0731,-038.016,158.7063,
-066.589,094.6093,-038.048,158.6861,
-065.323,099.3360,-038.067,158.6569,
-064.211,104.0766,-038.055,158.6755,
-062.912,110.5496,-038.028,158.6904,
-061.569,118.6906,-038.012,158.7058,
-060.690,125.5209,-038.004,158.6897,
-059.800,134.2684,-038.004,158.7185,
-059.010,144.4698,-038.013,158.6744,
-058.440,153.2639,-038.060,158.6409,
-057.827,165.0891,-038.109,158.6393,
-057.348,177.4021,-038.132,158.6205,
-057.028,-172.6918,-038.116,158.6550,
-056.745,-158.7331,-038.095,158.6582,
-056.619,-145.6688,-038.064,158.6525,
-056.549,-134.6802,-038.056,158.6586,
-056.508,-116.9390,-038.053,158.6788,
-056.395,-101.5059,-038.053,158.6839,
-056.289,-087.3731,-038.066,158.6859,
-056.045,-066.6399,-038.064,158.6953,
-055.865,-051.1215,-038.031,158.6884,
-055.627,-035.7828,-038.017,158.7059,
-055.193,-015.5170,-038.048,158.7160,
-054.784,-000.1817,-038.039,158.7410,
-054.304,016.4931,-038.047,158.7051,
-053.739,035.0239,-038.068,158.6604,
-053.319,049.3112,-038.061,158.6641,
-052.877,065.3766,-038.060,158.6677,
-052.440,082.0213,-038.045,158.6859,
-052.130,094.5667,-038.046,158.6777,
-051.802,109.3717,-038.019,158.6879,
-051.535,124.6048,-038.031,158.6287,
-051.363,135.9748,-038.056,158.6277,
-051.204,151.4240,-038.092,158.6199,
-051.112,165.8375,-038.106,158.6284,
-051.081,177.4213,-038.114,158.6412,
-051.064,-165.5623,-038.105,158.6246,
-051.102,-151.8074,-038.082,158.6034,
-051.168,-140.1232,-038.080,158.5959,
-051.288,-122.6276,-038.067,158.6215,
-051.455,-109.3110,-038.041,158.6877,
-051.645,-095.7729,-038.004,158.7245,
-051.938,-077.1615,-038.004,158.7108,
-052.126,-063.5571,-038.005,158.6929,
-052.315,-049.1585,-038.029,158.6771,
-052.510,-031.2357,-038.067,158.6602,
-052.648,-017.9305,-038.079,158.6695,
-052.781,-002.5051,-038.112,158.6607,
-052.924,015.5393,-038.099,158.6842,
-053.002,028.9036,-038.062,158.6700,
-053.038,044.7801,-038.010,158.7037,
-053.055,062.4984,-037.989,158.7103,
-053.046,074.8032,-037.991,158.7175,
-053.011,090.5998,-038.049,158.6748,
-052.960,105.0034,-038.072,158.6141,
-052.959,115.9933,-038.085,158.6157,
-052.951,132.1373,-038.133,158.5378,
-052.900,145.7967,-038.106,158.5829,
-052.882,156.9233,-038.093,158.6057,
-052.875,172.6654,-038.100,158.6258,
-052.865,-175.3512,-038.142,158.6035,
-052.878,-164.5342,-038.150,158.5906,
-052.947,-150.0460,-038.142,158.5521,
-053.025,-139.2334,-038.136,158.5525,
-053.122,-128.1133,-038.111,158.5792,
-053.245,-115.0905,-038.080,158.6200,
-053.360,-104.7659,-038.066,158.6408,
-053.492,-093.4916,-038.080,158.6598,
-053.632,-080.7973,-038.099,158.6488,
-053.742,-071.2149,-038.097,158.6261,
-053.852,-060.2908,-038.099,158.6082,
-054.001,-048.7708,-038.082,158.6324,
-054.115,-039.4012,-038.074,158.6311,
