FILENAME,E:\T_23\23_USP\ACQUIREDDATA\2AHVF07.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,7.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-058.644,124.4100,-046.250,-113.9673,
-058.451,126.2633,-046.229,-113.9824,
-058.260,127.7566,-046.257,-113.9891,
-058.135,128.6318,-046.302,-113.9883,
-058.040,130.2252,-046.311,-114.0021,
-057.937,130.5435,-046.341,-113.9959,
-057.895,131.5630,-046.396,-114.0196,
-057.840,132.9291,-046.351,-114.0041,
-057.769,134.8730,-046.430,-114.0206,
-057.683,136.5603,-046.414,-114.0253,
-057.610,139.1596,-046.424,-114.0191,
-057.544,141.8384,-046.390,-114.0043,
-057.469,143.9702,-046.318,-113.9974,
-057.402,146.6492,-046.321,-113.9929,
-057.367,149.5406,-046.311,-113.9995,
-057.346,151.4926,-046.274,-113.9702,
-057.327,154.6487,-046.218,-113.9406,
-057.361,157.3098,-046.250,-113.9473,
-057.397,159.3047,-046.263,-113.9495,
-057.452,162.6751,-046.248,-113.9290,
-057.498,165.0105,-046.291,-113.9387,
-057.518,167.2760,-046.261,-113.9351,
-057.581,170.9057,-046.305,-113.9370,
-057.636,173.6761,-046.260,-113.9203,
-057.666,175.5235,-046.265,-113.9164,
-057.767,-179.9674,-046.306,-113.9328,
-057.857,-177.0702,-046.290,-113.9326,
-057.907,-174.3864,-046.336,-113.9454,
-058.022,-170.1721,-046.317,-113.9230,
-058.157,-167.8855,-046.293,-113.9303,
-058.314,-166.1950,-046.301,-113.9420,
-058.637,-163.1703,-046.285,-113.9340,
-058.847,-160.9366,-046.249,-113.9349,
-059.106,-158.3682,-046.303,-113.9527,
-059.419,-154.6078,-046.296,-113.9447,
-059.626,-152.0597,-046.318,-113.9481,
-059.858,-149.5640,-046.325,-113.9636,
-060.146,-145.4059,-046.264,-113.9542,
-060.425,-143.1756,-046.312,-113.9677,
-060.758,-140.7207,-046.297,-113.9621,
-061.200,-136.3088,-046.304,-113.9777,
-061.522,-134.6101,-046.318,-113.9834,
-061.847,-131.9519,-046.293,-113.9797,
-062.285,-129.4879,-046.301,-113.9748,
-062.642,-128.6085,-046.259,-113.9571,
-063.268,-127.2142,-046.263,-113.9469,
-064.064,-125.9936,-046.230,-113.9606,
-064.587,-125.7676,-046.191,-113.9500,
-065.358,-127.1037,-046.206,-113.9567,
-065.861,-128.6250,-046.246,-113.9609,
-066.280,-130.1734,-046.216,-113.9412,
-066.988,-132.4754,-046.250,-113.9423,
-067.291,-133.9727,-046.254,-113.9447,
-067.624,-135.0741,-046.271,-113.9234,
-067.727,-135.2263,-046.309,-113.9459,
-067.687,-135.0922,-046.261,-113.9239,
-067.447,-135.4738,-046.321,-113.9345,
-067.091,-136.2662,-046.345,-113.9335,
-066.779,-136.7671,-046.356,-113.9336,
-066.319,-137.1187,-046.329,-113.9208,
-065.945,-137.7228,-046.290,-113.9163,
-065.674,-137.3534,-046.281,-113.8987,
-065.318,-137.2178,-046.259,-113.8815,
-064.930,-135.7934,-046.279,-113.9008,
-064.673,-133.8202,-046.289,-113.9000,
-064.499,-130.0394,-046.216,-113.8913,
-064.355,-127.4932,-046.274,-113.9059,
-064.148,-125.1702,-046.327,-113.9175,
-063.933,-120.7841,-046.334,-113.9204,
-063.803,-116.8076,-046.297,-113.9051,
-063.630,-113.5446,-046.285,-113.8937,
-063.429,-108.4374,-046.278,-113.8898,
-063.339,-104.1536,-046.308,-113.9070,
-063.316,-100.2681,-046.314,-113.8964,
-063.378,-095.8956,-046.298,-113.9012,
-063.539,-091.7742,-046.277,-113.8901,
-063.765,-087.5480,-046.269,-113.8873,
-064.005,-081.9104,-046.261,-113.8988,
-064.166,-077.1634,-046.295,-113.9084,
-064.344,-072.5274,-046.319,-113.9328,
-064.532,-068.2635,-046.250,-113.9196,
-064.725,-064.9758,-046.303,-113.9487,
-064.990,-059.5437,-046.334,-113.9560,
-065.271,-055.1447,-046.293,-113.9619,
-065.541,-052.1823,-046.317,-113.9737,
-065.985,-048.0761,-046.306,-113.9695,
-066.402,-044.4777,-046.325,-113.9878,
-066.707,-041.1094,-046.292,-113.9901,
-067.277,-035.6219,-046.291,-113.9891,
-067.751,-031.2411,-046.290,-113.9957,
-068.127,-027.8693,-046.272,-114.0035,
-068.743,-021.3676,-046.238,-113.9771,
-069.016,-017.7446,-046.246,-113.9847,
-069.361,-013.2709,-046.257,-113.9829,
-069.599,-008.5060,-046.271,-113.9825,
-069.803,-005.8139,-046.301,-113.9848,
-069.898,-001.8126,-046.342,-114.0031,
-070.245,001.7977,-046.337,-113.9957,
-070.532,002.4853,-046.333,-113.9917,
-070.873,002.6449,-046.322,-113.9862,
-071.184,004.2684,-046.393,-114.0064,
-071.471,004.3594,-046.381,-114.0030,
-071.715,003.7378,-046.363,-113.9996,
-072.010,002.3754,-046.337,-113.9907,
-072.170,003.0924,-046.351,-114.0207,
-071.908,005.7329,-046.377,-114.0222,
-071.542,007.0354,-046.276,-114.0062,
-071.524,009.0143,-046.259,-113.9997,
-071.234,011.3805,-046.269,-114.0157,
-071.302,012.0943,-046.288,-114.0178,
-071.384,014.3327,-046.307,-114.0158,
-071.436,016.8440,-046.283,-114.0180,
-071.768,017.6077,-046.304,-114.0308,
-072.283,019.8559,-046.300,-114.0268,
-072.967,022.0298,-046.341,-114.0339,
-073.567,023.9552,-046.358,-114.0365,
-074.025,027.8875,-046.347,-114.0346,
-074.558,032.7219,-046.397,-114.0469,
-074.414,036.0769,-046.375,-114.0380,
-074.186,038.4762,-046.382,-114.0474,
-073.913,040.2675,-046.367,-114.0313,
-074.622,042.5810,-046.350,-114.0273,
-074.703,044.8950,-046.357,-114.0356,
-074.620,047.1581,-046.332,-114.0226,
-074.489,049.3398,-046.324,-114.0083,
-074.389,055.4082,-046.335,-114.0065,
-074.384,060.5386,-046.392,-114.0176,
-074.433,066.8082,-046.361,-114.0078,
-074.360,075.9757,-046.370,-114.0126,
-074.773,082.2630,-046.347,-114.0091,
-074.839,087.0282,-046.331,-114.0050,
-075.383,094.0422,-046.348,-114.0166,
-075.958,097.1037,-046.308,-113.9904,
-076.737,099.9833,-046.266,-113.9852,
-077.224,099.8544,-046.292,-113.9824,
-077.770,103.3731,-046.317,-113.9939,
-078.222,109.0207,-046.287,-113.9965,
-078.651,113.8083,-046.326,-114.0142,
-079.321,116.3885,-046.312,-114.0082,
-080.150,114.4211,-046.344,-114.0240,
-081.615,102.4692,-046.396,-114.0413,
-082.641,090.9790,-046.343,-114.0232,
