FILENAME,E:\T_23\23_USP\ACQUIREDDATA\2AHVF09.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,9,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-066.375,155.7590,-050.334,-110.9073,
-066.271,153.9623,-050.351,-110.9074,
-066.231,152.4397,-050.360,-110.9078,
-066.136,151.1700,-050.336,-110.9034,
-066.007,149.3991,-050.336,-110.8992,
-065.950,147.7085,-050.323,-110.9029,
-065.860,145.8567,-050.322,-110.9021,
-065.887,144.0822,-050.317,-110.8956,
-065.920,142.3030,-050.325,-110.8914,
-065.921,140.6851,-050.339,-110.9051,
-065.962,139.7392,-050.338,-110.9035,
-066.044,139.1965,-050.345,-110.9067,
-066.032,138.4879,-050.348,-110.9010,
-066.054,138.2102,-050.339,-110.9033,
-066.032,137.4854,-050.344,-110.9019,
-066.036,136.9963,-050.338,-110.9009,
-066.066,136.3061,-050.345,-110.9062,
-066.194,135.7292,-050.354,-110.8942,
-066.332,135.3567,-050.347,-110.8952,
-066.509,135.5722,-050.358,-110.9072,
-066.671,136.2364,-050.356,-110.9029,
-066.865,136.8381,-050.354,-110.9065,
-067.002,137.3056,-050.360,-110.9054,
-067.202,137.7235,-050.367,-110.9062,
-067.387,137.2558,-050.359,-110.9102,
-067.617,137.7930,-050.344,-110.9082,
-067.973,138.1928,-050.357,-110.9043,
-068.221,138.3898,-050.352,-110.9112,
-068.639,138.9344,-050.333,-110.9162,
-069.060,139.0475,-050.330,-110.9103,
-069.413,139.1381,-050.327,-110.9039,
-069.938,138.1141,-050.325,-110.9014,
-070.463,137.5552,-050.315,-110.8995,
-070.831,136.5947,-050.323,-110.9116,
-071.334,134.7129,-050.317,-110.9027,
-071.861,133.3335,-050.325,-110.9248,
-072.252,131.5849,-050.332,-110.9059,
-072.877,128.1187,-050.335,-110.9168,
-073.234,125.5491,-050.345,-110.9233,
-073.728,120.3176,-050.347,-110.9344,
-073.979,115.2163,-050.353,-110.9404,
-074.185,110.6954,-050.352,-110.9220,
-074.076,105.1555,-050.335,-110.9128,
-073.743,098.8548,-050.332,-110.9288,
-073.699,097.2719,-050.323,-110.9189,
-073.134,092.4573,-050.332,-110.9321,
-072.466,088.8997,-050.330,-110.9161,
-072.044,087.6573,-050.344,-110.9169,
-071.500,087.0588,-050.332,-110.9217,
-070.926,088.0126,-050.329,-110.9110,
-070.424,088.8481,-050.331,-110.9103,
-069.744,090.7181,-050.325,-110.9064,
-069.132,092.3938,-050.332,-110.8965,
-068.518,093.5959,-050.327,-110.8939,
-067.786,095.8218,-050.324,-110.9040,
-067.275,097.6382,-050.324,-110.9016,
-066.917,099.5976,-050.316,-110.8892,
-066.537,101.9050,-050.330,-110.9040,
-066.135,104.2129,-050.323,-110.9016,
-065.937,107.6758,-050.318,-110.9116,
-065.744,111.4338,-050.335,-110.9120,
-065.468,113.3532,-050.343,-110.9068,
-065.238,116.4318,-050.336,-110.9071,
-065.120,120.0339,-050.330,-110.9111,
-065.003,122.9904,-050.329,-110.9026,
-064.942,126.6446,-050.325,-110.9025,
-064.969,129.9541,-050.337,-110.9045,
-065.081,133.3949,-050.339,-110.9125,
-065.078,138.0409,-050.332,-110.9085,
-065.148,142.4077,-050.344,-110.9082,
-065.200,145.4412,-050.343,-110.9106,
-065.285,149.8262,-050.342,-110.8911,
-065.338,153.3905,-050.328,-110.8973,
-065.530,156.0478,-050.329,-110.9037,
-065.911,159.7873,-050.317,-110.9108,
-066.186,162.3592,-050.294,-110.8882,
-066.631,165.2000,-050.302,-110.9015,
-067.256,167.7249,-050.292,-110.9027,
-067.843,169.3483,-050.298,-110.9001,
-068.514,171.1563,-050.289,-110.9060,
-069.324,173.2520,-050.299,-110.9030,
-070.112,174.3212,-050.309,-110.9128,
-071.043,174.8933,-050.311,-110.9205,
-072.056,174.4520,-050.314,-110.9128,
-072.654,173.1411,-050.323,-110.9228,
-073.613,169.2629,-050.325,-110.9082,
-074.028,163.7752,-050.330,-110.9273,
-074.517,158.1958,-050.320,-110.9156,
-074.409,151.0532,-050.324,-110.9263,
-073.999,145.7605,-050.326,-110.9348,
-073.457,142.3848,-050.328,-110.9244,
-072.722,140.2200,-050.314,-110.9112,
-072.115,139.2513,-050.325,-110.9161,
-071.571,139.6259,-050.312,-110.9198,
-070.906,139.9815,-050.313,-110.9209,
-070.634,141.0034,-050.318,-110.9219,
-070.253,142.8483,-050.309,-110.9207,
-069.843,146.0930,-050.314,-110.9115,
-069.612,150.0984,-050.308,-110.9175,
-069.354,154.5503,-050.307,-110.9248,
-069.008,158.9185,-050.317,-110.9137,
-068.808,162.3816,-050.308,-110.9086,
-068.553,165.9660,-050.317,-110.9234,
-068.307,170.2599,-050.313,-110.9119,
-068.181,173.1241,-050.320,-110.9167,
-067.974,176.9953,-050.313,-110.9091,
-067.975,-179.2654,-050.323,-110.9147,
-067.945,-176.2173,-050.338,-110.9030,
-067.959,-172.8114,-050.352,-110.9146,
-068.053,-169.0186,-050.343,-110.9095,
-068.185,-166.1051,-050.351,-110.9159,
-068.313,-162.2368,-050.349,-110.9034,
-068.481,-158.7614,-050.352,-110.9228,
-068.532,-155.6523,-050.344,-110.9072,
-068.639,-152.2312,-050.344,-110.9190,
-068.723,-148.9933,-050.342,-110.9236,
-068.819,-146.5429,-050.337,-110.9077,
-068.933,-142.8651,-050.339,-110.9054,
-068.960,-139.9414,-050.317,-110.9124,
-069.052,-137.4220,-050.316,-110.9081,
-069.219,-135.3202,-050.301,-110.9222,
-069.340,-133.7232,-050.302,-110.9191,
-069.514,-131.3065,-050.319,-110.9172,
-069.666,-129.4600,-050.314,-110.9264,
-069.827,-128.3172,-050.303,-110.9157,
-069.994,-126.3271,-050.297,-110.9157,
-070.126,-124.6413,-050.306,-110.9284,
-070.150,-123.3766,-050.306,-110.9297,
-070.167,-122.1017,-050.311,-110.9147,
-070.413,-121.0864,-050.325,-110.9135,
-070.522,-120.6611,-050.340,-110.9188,
-070.510,-119.6179,-050.368,-110.9379,
-070.422,-117.9101,-050.344,-110.9285,
-070.286,-115.2859,-050.337,-110.9219,
-070.323,-112.8537,-050.344,-110.9222,
-070.356,-111.2929,-050.338,-110.9222,
-070.429,-109.9392,-050.349,-110.9200,
-070.432,-108.2366,-050.348,-110.9186,
-070.386,-106.4639,-050.356,-110.9050,
-070.470,-104.6708,-050.355,-110.9303,
-070.313,-102.5006,-050.347,-110.9275,
-070.437,-100.6085,-050.336,-110.9140,
-070.347,-098.7633,-050.333,-110.9204,
-070.335,-096.5713,-050.343,-110.9208,
