FILENAME,E:\T_23\23_USP\ACQUIREDDATA\2AVVF07.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,7.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-062.002,011.5019,-038.961,-111.6502,
-061.901,004.3360,-039.005,-111.6614,
-061.540,-001.9189,-039.034,-111.6854,
-061.134,-006.7365,-039.047,-111.6807,
-060.664,-010.9408,-039.034,-111.6800,
-060.182,-014.7239,-039.073,-111.7164,
-059.792,-017.4491,-039.079,-111.6997,
-059.397,-021.1434,-039.062,-111.6983,
-058.938,-024.7496,-039.085,-111.7375,
-058.462,-027.3903,-039.091,-111.7260,
-057.755,-030.0442,-039.072,-111.7424,
-057.021,-031.6473,-039.059,-111.7532,
-056.448,-031.6786,-039.067,-111.7431,
-055.706,-031.0395,-039.033,-111.7408,
-055.135,-029.3033,-039.019,-111.7312,
-054.764,-027.2689,-039.023,-111.7302,
-054.217,-024.2806,-039.017,-111.7103,
-053.863,-021.4399,-039.017,-111.7117,
-053.616,-019.0536,-039.015,-111.7015,
-053.233,-014.8405,-039.029,-111.6828,
-052.930,-011.5816,-039.021,-111.6831,
-052.701,-009.2937,-039.017,-111.6795,
-052.298,-004.6997,-039.017,-111.6537,
-051.982,-001.2530,-039.008,-111.6378,
-051.722,001.6879,-038.992,-111.6307,
-051.338,007.1625,-039.016,-111.6433,
-051.133,011.0239,-039.022,-111.6595,
-051.020,014.1953,-039.014,-111.6531,
-050.887,020.4715,-038.990,-111.6469,
-050.871,024.1253,-039.032,-111.6650,
-050.874,028.2433,-039.006,-111.6697,
-050.908,034.8779,-039.016,-111.6839,
-050.912,038.6872,-039.029,-111.6871,
-050.915,043.3216,-039.036,-111.6965,
-050.957,050.0950,-039.038,-111.7017,
-050.986,054.4644,-039.014,-111.6916,
-051.025,060.3412,-039.018,-111.6773,
-051.122,067.3905,-039.032,-111.6659,
-051.192,071.9899,-039.025,-111.6379,
-051.314,078.6601,-039.034,-111.6536,
-051.495,087.0408,-038.992,-111.6469,
-051.620,092.3645,-038.967,-111.6480,
-051.851,100.8853,-038.993,-111.6735,
-052.121,109.7399,-038.962,-111.6891,
-052.311,115.3916,-038.939,-111.7031,
-052.682,126.2046,-038.942,-111.7057,
-052.988,135.6722,-038.961,-111.7256,
-053.208,142.9801,-038.971,-111.7187,
-053.569,156.4600,-038.955,-111.6732,
-053.750,166.3869,-038.977,-111.6720,
-053.873,175.4099,-038.981,-111.6512,
-053.939,-168.4666,-038.988,-111.6592,
-053.881,-158.3217,-038.982,-111.6735,
-053.739,-147.9538,-038.982,-111.6843,
-053.400,-133.0364,-038.989,-111.6987,
-053.105,-123.7543,-038.988,-111.6926,
-052.717,-113.2848,-038.997,-111.6891,
-052.099,-099.9217,-038.986,-111.6407,
-051.711,-091.9440,-038.984,-111.6252,
-051.279,-082.8464,-038.951,-111.6299,
-050.710,-071.6345,-038.930,-111.6384,
-050.340,-064.3460,-038.929,-111.6651,
-049.891,-054.9980,-038.921,-111.6818,
-049.411,-045.3297,-038.944,-111.6967,
-049.088,-038.6604,-038.912,-111.6877,
-048.642,-029.4493,-038.947,-111.7192,
-048.274,-020.8047,-038.954,-111.7117,
-048.000,-014.0770,-038.941,-111.6680,
-047.615,-004.5301,-038.950,-111.6535,
-047.378,002.7929,-038.979,-111.6686,
-047.172,009.1560,-038.995,-111.7151,
-046.902,018.6264,-038.999,-111.7227,
-046.732,025.5612,-039.003,-111.7435,
-046.558,032.6308,-039.030,-111.7438,
-046.396,041.5252,-039.014,-111.7496,
-046.311,047.8878,-039.027,-111.7468,
-046.245,055.2563,-039.025,-111.7082,
-046.187,064.1573,-039.013,-111.7294,
-046.184,070.3410,-039.001,-111.7250,
-046.207,078.0297,-039.014,-111.7154,
-046.263,086.4251,-039.021,-111.6895,
-046.318,092.6210,-039.025,-111.6762,
-046.414,101.3028,-039.025,-111.7028,
-046.541,109.8264,-039.030,-111.7613,
-046.639,116.2161,-039.038,-111.7689,
-046.792,124.9696,-039.014,-111.7453,
-046.938,132.9288,-039.006,-111.7614,
-047.060,139.7424,-038.981,-111.7570,
-047.272,149.4919,-038.997,-111.7578,
-047.450,157.2679,-038.994,-111.7745,
-047.643,164.3837,-038.976,-111.7157,
-047.946,174.9183,-038.970,-111.6921,
-048.183,-177.3005,-038.974,-111.6887,
-048.407,-169.3073,-038.985,-111.7055,
-048.696,-158.4153,-038.986,-111.7179,
-048.895,-150.8968,-039.017,-111.7421,
-049.072,-142.1305,-039.032,-111.7513,
-049.255,-131.3390,-039.086,-111.7512,
-049.347,-123.3305,-039.053,-111.7455,
-049.447,-113.4221,-039.054,-111.7555,
-049.507,-102.4012,-039.080,-111.7377,
-049.524,-094.8201,-039.083,-111.7229,
-049.503,-084.9095,-039.062,-111.7108,
-049.463,-075.1941,-039.058,-111.7327,
-049.459,-068.5745,-039.074,-111.7481,
-049.451,-058.9465,-039.063,-111.7552,
-049.463,-051.1769,-039.076,-111.7569,
-049.472,-045.2558,-039.055,-111.7714,
-049.495,-036.3657,-039.087,-111.7879,
-049.524,-029.7341,-039.089,-111.7815,
-049.537,-023.8617,-039.045,-111.7850,
-049.612,-015.2692,-039.073,-111.7718,
-049.660,-009.6774,-039.076,-111.7435,
-049.765,-003.9330,-039.076,-111.7303,
-049.907,002.8314,-039.086,-111.7569,
-050.011,007.3855,-039.119,-111.7916,
-050.169,012.8872,-039.138,-111.7943,
-050.381,019.0908,-039.141,-111.7980,
-050.562,023.5308,-039.158,-111.8300,
-050.851,029.3008,-039.135,-111.8283,
-051.153,035.6775,-039.139,-111.8251,
-051.368,040.2119,-039.130,-111.8253,
-051.649,046.2004,-039.110,-111.8044,
-051.941,052.1697,-039.102,-111.7932,
-052.172,056.1253,-039.109,-111.7829,
-052.528,062.2860,-039.116,-111.7785,
-052.865,067.3002,-039.115,-111.7696,
-053.154,072.1936,-039.138,-111.7732,
-053.554,078.1052,-039.131,-111.7925,
-053.829,082.1955,-039.156,-111.7853,
-054.076,086.5091,-039.152,-111.7943,
-054.373,091.9072,-039.114,-111.7712,
-054.594,095.5786,-039.088,-111.7756,
-054.836,098.8316,-039.084,-111.7510,
-055.190,102.3088,-039.055,-111.7443,
-055.448,104.1942,-039.057,-111.7406,
-055.853,106.1722,-039.074,-111.7601,
-056.328,107.8610,-039.072,-111.7367,
-056.724,108.8951,-039.061,-111.7333,
-057.267,110.6392,-039.123,-111.7572,
-057.836,112.7861,-039.111,-111.7549,
-058.210,114.2590,-039.119,-111.7485,
-058.706,116.0979,-039.147,-111.7460,
