FILENAME,E:\T_23\23_USP\ACQUIREDDATA\3AHHF06.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,6,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-055.204,031.5014,-039.096,-112.9810,
-055.183,030.0567,-039.111,-113.0134,
-055.187,028.6567,-039.108,-113.0047,
-055.188,027.3058,-039.125,-113.0265,
-055.186,025.8736,-039.129,-113.0240,
-055.148,024.3535,-039.123,-113.0162,
-055.149,023.1487,-039.145,-113.0117,
-055.139,022.1270,-039.146,-113.0115,
-055.134,021.2562,-039.130,-113.0344,
-055.091,020.3098,-039.129,-113.0092,
-055.098,019.2989,-039.114,-113.0233,
-055.081,018.2952,-039.126,-113.0186,
-055.076,017.5187,-039.142,-113.0208,
-055.073,016.3277,-039.171,-113.0302,
-055.077,015.9572,-039.127,-113.0292,
-055.082,015.3341,-039.124,-113.0236,
-055.051,014.3516,-039.101,-112.9867,
-055.036,012.4374,-039.138,-113.0212,
-055.063,012.5704,-039.151,-113.0325,
-055.014,011.3780,-039.143,-113.0125,
-054.907,010.2403,-039.160,-113.0266,
-054.768,008.6900,-039.170,-113.0328,
-054.896,007.7914,-039.173,-113.0270,
-054.868,005.8385,-039.166,-113.0475,
-054.857,004.8179,-039.172,-113.0328,
-054.734,003.5021,-039.187,-113.0344,
-054.691,002.3399,-039.172,-113.0320,
-054.691,001.3324,-039.188,-113.0454,
-054.698,000.1788,-039.160,-113.0367,
-054.680,-000.4196,-039.160,-113.0257,
-054.680,-000.9426,-039.123,-113.0150,
-054.684,-001.7138,-039.152,-113.0167,
-054.719,-002.7827,-039.144,-113.0222,
-054.717,-003.0860,-039.108,-112.9948,
-054.716,-004.4220,-039.145,-113.0117,
-054.691,-005.0162,-039.147,-113.0199,
-054.663,-005.7011,-039.145,-113.0086,
-054.693,-006.4435,-039.125,-113.0109,
-054.645,-007.0304,-039.154,-113.0302,
-054.408,-007.0296,-039.175,-113.0252,
-054.247,-007.7344,-039.177,-113.0196,
-054.217,-008.2330,-039.180,-113.0350,
-054.213,-008.8107,-039.184,-113.0391,
-054.327,-008.2311,-039.202,-113.0541,
-054.267,-007.8705,-039.197,-113.0328,
-054.331,-007.9391,-039.175,-113.0228,
-054.563,-008.7573,-039.150,-113.0140,
-054.598,-008.7539,-039.144,-113.0044,
-054.556,-009.0599,-039.124,-113.0170,
-054.495,-009.0225,-039.121,-112.9995,
-054.571,-006.4712,-039.145,-113.0086,
-054.581,-005.9164,-039.141,-113.0077,
-054.609,-004.8770,-039.139,-113.0199,
-054.672,-003.7580,-039.135,-112.9924,
-054.711,-002.6076,-039.092,-112.9827,
-054.784,-001.8371,-039.138,-113.0001,
-054.889,-000.5065,-039.118,-113.0051,
-054.910,001.1156,-039.103,-112.9959,
-054.940,001.9895,-039.123,-113.0017,
-054.946,004.0299,-039.119,-112.9934,
-055.050,005.3630,-039.120,-113.0174,
-055.386,006.0215,-039.133,-113.0299,
-055.386,007.1083,-039.103,-113.0190,
-055.614,008.1141,-039.112,-113.0229,
-055.810,008.6115,-039.159,-113.0561,
-055.943,009.3898,-039.170,-113.0716,
-056.121,010.7403,-039.153,-113.0561,
-056.288,010.6000,-039.144,-113.0611,
-056.622,012.8533,-039.138,-113.0532,
-056.933,015.3159,-039.139,-113.0862,
-057.113,017.0454,-039.139,-113.0620,
-057.397,018.6757,-039.172,-113.0898,
-057.634,019.6367,-039.185,-113.0655,
-057.819,021.2224,-039.161,-113.0843,
-058.097,022.9294,-039.175,-113.0717,
-058.289,024.5517,-039.101,-113.0343,
-058.473,025.2724,-039.089,-113.0334,
-058.841,025.8901,-039.106,-113.0332,
-059.138,026.9551,-039.082,-113.0045,
-059.404,028.0276,-039.082,-113.0012,
-059.735,028.8508,-039.085,-112.9945,
-059.996,029.3752,-039.099,-113.0028,
-060.399,031.1263,-039.141,-113.0202,
-060.751,032.5317,-039.142,-113.0185,
-061.085,033.7410,-039.135,-113.0159,
-061.477,035.2570,-039.171,-113.0180,
-061.778,037.7609,-039.177,-113.0553,
-061.871,039.2648,-039.162,-113.0447,
-062.223,039.8606,-039.165,-113.0467,
-062.447,041.7880,-039.185,-113.0467,
-062.496,045.1481,-039.182,-113.0489,
-062.694,047.1722,-039.145,-113.0383,
-062.807,048.9432,-039.149,-113.0291,
-062.983,050.1516,-039.153,-113.0208,
-063.208,052.4893,-039.142,-113.0106,
-063.306,053.9561,-039.145,-112.9905,
-063.440,056.6551,-039.123,-112.9797,
-063.142,061.5960,-039.146,-113.0046,
-063.188,063.1274,-039.167,-113.0172,
-063.429,063.7511,-039.176,-113.0268,
-063.554,066.3460,-039.173,-113.0102,
-063.671,068.0428,-039.169,-113.0030,
-063.727,070.4477,-039.154,-112.9958,
-063.828,073.3366,-039.168,-113.0146,
-063.731,075.7334,-039.197,-113.0318,
-063.939,078.5750,-039.178,-113.0250,
-064.048,081.6043,-039.183,-113.0229,
-063.893,084.0389,-039.170,-113.0013,
-063.991,086.7836,-039.154,-112.9857,
-063.867,088.8922,-039.165,-112.9971,
-063.912,090.6268,-039.154,-113.0115,
-063.950,092.2698,-039.158,-113.0063,
-064.000,093.3029,-039.164,-113.0119,
-063.972,094.6929,-039.152,-113.0154,
-063.907,096.6415,-039.162,-113.0093,
-063.823,097.8608,-039.177,-113.0266,
-063.919,099.7138,-039.182,-113.0265,
-063.797,101.8795,-039.169,-112.9795,
-063.753,104.1288,-039.176,-113.0100,
-063.809,106.2765,-039.136,-112.9855,
-063.762,108.7799,-039.135,-112.9914,
-063.845,111.8381,-039.124,-112.9881,
-063.708,114.0563,-039.124,-113.0016,
-063.632,116.3052,-039.124,-112.9970,
-063.455,117.7541,-039.121,-113.0138,
-063.540,120.1221,-039.120,-112.9966,
-063.404,120.9854,-039.115,-112.9940,
-063.435,122.7476,-039.124,-113.0183,
-063.812,124.0812,-039.124,-112.9959,
-064.231,125.4818,-039.137,-113.0039,
-064.353,125.2936,-039.150,-113.0006,
-064.068,125.8655,-039.152,-112.9990,
-063.363,127.1204,-039.174,-113.0187,
-063.361,128.1262,-039.178,-113.0016,
-062.185,130.3162,-039.187,-112.9911,
-062.235,131.1331,-039.178,-112.9869,
-062.086,133.0653,-039.167,-112.9937,
-061.845,136.4053,-039.188,-112.9964,
-061.660,139.4453,-039.175,-112.9994,
-061.528,141.5361,-039.163,-112.9999,
-061.516,143.5888,-039.144,-112.9987,
-061.303,145.5679,-039.129,-113.0027,
-061.211,147.6377,-039.111,-112.9737,
-061.191,150.2354,-039.126,-112.9941,
