FILENAME,E:\T_23\23_USP\ACQUIREDDATA\3AVHF06.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,6,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-077.516,106.3462,-036.859,-111.4205,
-069.499,119.6120,-036.893,-111.4805,
-065.777,122.0390,-036.926,-111.5336,
-063.135,121.9981,-036.912,-111.4944,
-060.914,121.2270,-036.897,-111.4825,
-059.339,119.8795,-036.882,-111.5101,
-058.025,119.0004,-036.900,-111.5248,
-056.794,117.9706,-036.903,-111.5368,
-055.644,117.0340,-036.881,-111.5274,
-054.861,116.5279,-036.868,-111.5066,
-054.036,115.9579,-036.870,-111.5282,
-053.155,115.4031,-036.863,-111.5050,
-052.533,115.0482,-036.866,-111.5190,
-051.887,114.3714,-036.855,-111.5109,
-051.191,114.0715,-036.878,-111.5351,
-050.749,113.8687,-036.869,-111.5216,
-050.294,113.8392,-036.863,-111.4951,
-049.826,114.1521,-036.879,-111.5281,
-049.491,114.3243,-036.886,-111.5175,
-049.099,114.9896,-036.871,-111.5098,
-048.732,115.6994,-036.848,-111.4817,
-048.445,116.2461,-036.851,-111.5016,
-048.089,116.7976,-036.856,-111.5059,
-047.766,117.7348,-036.847,-111.4745,
-047.540,118.4464,-036.872,-111.5099,
-047.251,119.6311,-036.846,-111.4803,
-047.025,120.7528,-036.843,-111.4808,
-046.861,121.5896,-036.834,-111.4667,
-046.660,122.7467,-036.840,-111.4460,
-046.502,124.0036,-036.834,-111.4511,
-046.383,124.8095,-036.824,-111.4294,
-046.244,126.1006,-036.827,-111.4342,
-046.135,127.1207,-036.825,-111.4624,
-046.076,128.1947,-036.834,-111.4691,
-046.005,129.8237,-036.851,-111.4738,
-045.957,131.2097,-036.835,-111.4590,
-045.978,132.4789,-036.860,-111.5063,
-046.006,134.6037,-036.829,-111.4797,
-046.080,136.3374,-036.843,-111.5056,
-046.175,137.9020,-036.865,-111.5519,
-046.313,140.3522,-036.835,-111.5212,
-046.400,142.2981,-036.836,-111.5286,
-046.543,144.1384,-036.844,-111.5291,
-046.762,146.7762,-036.830,-111.4909,
-046.914,148.7911,-036.836,-111.5322,
-047.128,151.1337,-036.820,-111.5071,
-047.411,154.1046,-036.816,-111.5175,
-047.681,156.3086,-036.783,-111.4777,
-048.051,159.9237,-036.762,-111.4312,
-048.422,163.2019,-036.779,-111.4467,
-048.768,165.8601,-036.774,-111.4021,
-049.255,170.1039,-036.777,-111.4073,
-049.780,174.0011,-036.801,-111.4335,
-050.271,177.6668,-036.815,-111.4099,
-050.963,-176.5829,-036.800,-111.4002,
-051.558,-172.0265,-036.843,-111.4273,
-052.109,-167.4090,-036.834,-111.4536,
-052.994,-159.9760,-036.821,-111.4380,
-053.655,-153.9352,-036.807,-111.4424,
-054.292,-147.2992,-036.837,-111.4590,
-055.182,-138.7901,-036.818,-111.4304,
-055.843,-131.5996,-036.823,-111.4351,
-056.661,-122.6418,-036.806,-111.4296,
-057.593,-111.3544,-036.802,-111.3694,
-058.231,-101.8324,-036.807,-111.3927,
-058.928,-089.2515,-036.793,-111.3765,
-059.469,-074.2977,-036.795,-111.4005,
-059.756,-062.1794,-036.799,-111.4132,
-059.700,-046.4839,-036.820,-111.4519,
-059.631,-031.1611,-036.816,-111.4477,
-059.228,-019.0434,-036.831,-111.4736,
-058.390,-004.1500,-036.825,-111.4626,
-057.658,006.8685,-036.792,-111.4041,
-056.981,015.4337,-036.779,-111.4395,
-056.100,026.3750,-036.756,-111.3705,
-055.456,034.1911,-036.759,-111.4060,
-054.911,041.4290,-036.751,-111.4014,
-054.221,050.6856,-036.712,-111.3806,
-053.725,057.5872,-036.729,-111.3805,
-053.218,064.3759,-036.738,-111.3940,
-052.615,072.1407,-036.762,-111.4001,
-052.195,077.8040,-036.761,-111.4013,
-051.744,083.9793,-036.781,-111.3719,
-051.330,090.2330,-036.804,-111.4029,
-051.081,094.9773,-036.809,-111.3921,
-050.780,100.7681,-036.829,-111.4253,
-050.521,106.7083,-036.817,-111.4288,
-050.352,111.0086,-036.790,-111.4163,
-050.181,117.0207,-036.777,-111.3941,
-050.048,122.5747,-036.773,-111.4195,
-049.989,126.8470,-036.773,-111.4186,
-049.954,133.1447,-036.725,-111.3480,
-049.979,137.9783,-036.754,-111.3751,
-050.040,142.4522,-036.731,-111.3559,
-050.214,148.9814,-036.720,-111.3511,
-050.389,153.9279,-036.728,-111.3356,
-050.596,158.5629,-036.759,-111.3617,
-050.958,165.3993,-036.750,-111.3387,
-051.327,170.7845,-036.757,-111.3131,
-051.735,176.7379,-036.776,-111.3432,
-052.270,-175.8598,-036.767,-111.3180,
-052.735,-170.0537,-036.772,-111.3429,
-053.284,-163.6129,-036.794,-111.3612,
-053.999,-155.3556,-036.788,-111.3480,
-054.571,-148.5519,-036.776,-111.3460,
-055.349,-140.1000,-036.742,-111.3320,
-056.196,-130.9556,-036.749,-111.3230,
-056.884,-122.3491,-036.765,-111.3356,
-057.902,-109.6779,-036.774,-111.3337,
-058.647,-096.5128,-036.735,-111.3206,
-059.204,-084.1797,-036.749,-111.3148,
-059.683,-065.9332,-036.776,-111.3562,
-059.666,-050.3514,-036.771,-111.3573,
-059.436,-036.8491,-036.800,-111.3779,
-059.017,-019.4138,-036.790,-111.3821,
-058.451,-007.4124,-036.786,-111.3755,
-057.867,003.4434,-036.795,-111.3770,
-057.005,016.8642,-036.797,-111.3832,
-056.324,025.6037,-036.731,-111.3393,
-055.633,033.6483,-036.755,-111.3726,
-054.884,043.1854,-036.754,-111.4053,
-054.334,049.4832,-036.716,-111.3733,
-053.717,056.3315,-036.707,-111.3705,
-053.068,063.5711,-036.741,-111.3906,
-052.644,068.5518,-036.718,-111.3572,
-052.169,074.5670,-036.731,-111.3802,
-051.727,081.2840,-036.750,-111.3622,
-051.500,085.7797,-036.776,-111.3986,
-051.170,091.8008,-036.798,-111.4038,
-050.975,097.5393,-036.814,-111.4207,
-050.882,102.2807,-036.820,-111.4160,
-050.766,108.7171,-036.817,-111.4343,
-050.656,113.6961,-036.806,-111.4433,
-050.605,117.8834,-036.809,-111.4645,
-050.562,124.6498,-036.784,-111.4416,
-050.595,130.0191,-036.790,-111.4559,
-050.576,134.7193,-036.807,-111.4893,
-050.593,140.5314,-036.795,-111.4810,
-050.633,144.8974,-036.799,-111.4561,
-050.670,149.7983,-036.788,-111.4427,
-050.780,155.5943,-036.761,-111.4062,
-050.819,159.8982,-036.769,-111.3968,
-050.921,164.8418,-036.775,-111.3762,
-051.040,170.0455,-036.809,-111.4040,
