FILENAME,E:\T_23\23_USP\ACQUIREDDATA\3AVHF07.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,7.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-060.788,-047.1224,-038.980,-113.0514,
-059.624,-050.6984,-038.987,-113.0583,
-058.618,-052.7753,-038.975,-113.0752,
-057.878,-054.0144,-038.970,-113.0512,
-057.096,-054.6449,-038.998,-113.0890,
-056.382,-055.2413,-038.979,-113.0846,
-055.795,-055.3450,-038.990,-113.0846,
-055.115,-055.5602,-039.002,-113.1102,
-054.383,-055.4204,-039.002,-113.1090,
-053.794,-054.6325,-039.001,-113.1071,
-053.118,-053.4790,-038.968,-113.1193,
-052.491,-051.8671,-038.980,-113.1362,
-052.077,-050.3869,-038.999,-113.1450,
-051.543,-047.6011,-038.987,-113.1378,
-051.133,-044.7703,-038.985,-113.1453,
-050.889,-042.6645,-038.991,-113.1310,
-050.511,-039.3287,-039.013,-113.1592,
-050.230,-035.9756,-038.970,-113.1272,
-050.063,-033.4354,-039.017,-113.1272,
-049.802,-028.9714,-038.999,-113.1156,
-049.596,-025.5959,-039.031,-113.1402,
-049.461,-022.9276,-039.023,-113.1433,
-049.257,-017.9048,-039.008,-113.1144,
-049.080,-013.7695,-039.030,-113.1371,
-048.972,-010.7394,-039.018,-113.1214,
-048.855,-004.7622,-039.011,-113.1021,
-048.828,-000.4950,-039.026,-113.0908,
-048.832,002.8011,-038.984,-113.0725,
-048.913,009.2665,-038.979,-113.0713,
-048.992,013.1402,-038.956,-113.0621,
-049.089,016.5895,-038.962,-113.0751,
-049.252,022.5988,-038.965,-113.1096,
-049.351,026.5409,-038.967,-113.1164,
-049.450,030.6350,-038.967,-113.1142,
-049.667,037.0449,-038.981,-113.1325,
-049.810,041.4623,-038.977,-113.1288,
-049.993,046.5140,-038.991,-113.1453,
-050.339,054.3614,-038.962,-113.1294,
-050.566,058.9910,-038.953,-113.0972,
-050.887,064.7371,-038.924,-113.0872,
-051.411,073.1625,-038.943,-113.0774,
-051.741,078.5450,-038.943,-113.0663,
-052.257,085.8737,-038.948,-113.0600,
-052.910,094.8896,-038.952,-113.0682,
-053.357,101.0604,-038.936,-113.0747,
-054.139,110.9318,-038.930,-113.0976,
-054.926,120.4672,-038.922,-113.1248,
-055.534,128.1100,-038.944,-113.1171,
-056.497,141.0396,-038.927,-113.1206,
-057.273,152.6517,-038.929,-113.1174,
-057.870,163.1555,-038.911,-113.0923,
-058.594,-177.7245,-038.896,-113.0735,
-058.882,-163.6043,-038.896,-113.0616,
-058.973,-149.6326,-038.899,-113.0810,
-058.695,-130.1017,-038.943,-113.0890,
-058.348,-117.1623,-038.943,-113.0774,
-057.785,-104.0176,-038.953,-113.0787,
-057.030,-088.7211,-038.962,-113.0652,
-056.512,-078.8649,-038.923,-113.0625,
-055.904,-067.6123,-038.903,-113.0598,
-055.271,-055.7115,-038.915,-113.0745,
-054.850,-047.8573,-038.917,-113.0662,
-054.336,-037.8691,-038.918,-113.0862,
-053.806,-027.9859,-038.936,-113.0813,
-053.467,-020.9841,-038.930,-113.0771,
-053.013,-011.7713,-038.934,-113.0625,
-052.684,-003.5246,-038.914,-113.0457,
-052.402,002.9389,-038.917,-113.0651,
-052.096,012.9886,-038.956,-113.0861,
-051.910,019.8833,-038.944,-113.1104,
-051.783,026.2970,-038.926,-113.1144,
-051.645,035.6415,-038.920,-113.1363,
-051.556,042.2795,-038.917,-113.1202,
-051.496,049.7972,-038.927,-113.1323,
-051.495,058.9225,-038.912,-113.1187,
-051.527,065.4541,-038.921,-113.1045,
-051.609,073.4953,-038.945,-113.0950,
-051.761,083.0026,-038.949,-113.1021,
-051.876,089.8236,-038.946,-113.0791,
-052.064,098.1953,-038.971,-113.1082,
-052.274,107.9446,-038.952,-113.1377,
-052.451,115.1752,-038.953,-113.1501,
-052.715,125.6106,-038.976,-113.1804,
-052.941,135.9064,-038.991,-113.1778,
-053.087,143.0583,-038.989,-113.1686,
-053.323,154.2181,-038.998,-113.1783,
-053.484,164.2878,-038.985,-113.1518,
-053.631,172.3817,-039.003,-113.1468,
-053.811,-175.4932,-039.007,-113.1397,
-053.934,-166.4235,-039.005,-113.1450,
-054.071,-158.1422,-038.993,-113.1433,
-054.244,-145.4726,-038.996,-113.1658,
-054.400,-136.2636,-039.022,-113.1842,
-054.467,-127.0639,-038.998,-113.1815,
-054.561,-114.6229,-038.995,-113.1446,
-054.582,-105.5292,-039.007,-113.1507,
-054.551,-095.7482,-039.023,-113.1587,
-054.382,-083.5221,-038.981,-113.1206,
-054.224,-075.3802,-038.974,-113.1332,
-054.010,-065.9709,-038.957,-113.1207,
-053.704,-055.2248,-038.967,-113.1511,
-053.477,-048.5520,-038.973,-113.1567,
-053.223,-039.7903,-038.964,-113.1548,
-052.976,-030.7733,-038.970,-113.1565,
-052.834,-024.6873,-038.976,-113.1683,
-052.685,-016.0198,-038.995,-113.1828,
-052.576,-008.2956,-038.992,-113.1448,
-052.484,-002.6474,-039.008,-113.1472,
-052.399,005.7480,-039.014,-113.1686,
-052.352,012.1136,-039.014,-113.1566,
-052.356,017.3821,-038.983,-113.1549,
-052.402,024.7141,-038.977,-113.1723,
-052.462,030.4488,-038.967,-113.1860,
-052.562,036.0289,-038.995,-113.2023,
-052.736,042.6053,-038.978,-113.1850,
-052.898,047.2851,-039.006,-113.1947,
-053.101,052.8560,-038.989,-113.1994,
-053.396,059.3744,-038.982,-113.1834,
-053.594,064.3839,-038.996,-113.1823,
-053.852,070.8959,-038.995,-113.1794,
-054.107,077.4126,-038.998,-113.1543,
-054.283,082.6024,-039.005,-113.1572,
-054.526,089.5999,-039.005,-113.1448,
-054.735,095.4805,-038.992,-113.1666,
-054.867,100.0125,-038.988,-113.1614,
-055.058,106.4781,-038.972,-113.1624,
-055.248,111.5631,-038.975,-113.1624,
-055.383,116.1171,-038.988,-113.1842,
-055.598,122.0876,-038.980,-113.1656,
-055.785,126.4722,-039.009,-113.2002,
-056.005,130.7042,-038.987,-113.1806,
-056.412,135.2620,-039.009,-113.1980,
-056.744,138.8496,-039.024,-113.2063,
-057.121,142.8389,-039.048,-113.2024,
-057.558,146.9785,-039.051,-113.2115,
-057.974,150.3697,-039.032,-113.1967,
-058.571,154.7579,-039.039,-113.2039,
-059.319,160.0002,-039.047,-113.1931,
-059.786,163.5968,-039.016,-113.1582,
-060.411,169.0643,-038.999,-113.1332,
-060.952,174.7314,-039.022,-113.1372,
-061.318,178.1786,-039.029,-113.1564,
