FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AHHF063.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,6.3,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-064.261,-157.2943,-040.691,-114.6807,
-064.410,-156.0909,-040.721,-114.6982,
-064.616,-154.2132,-040.686,-114.7004,
-064.841,-152.6856,-040.704,-114.7072,
-065.103,-150.4255,-040.715,-114.7047,
-065.476,-148.4597,-040.725,-114.7232,
-065.764,-146.7982,-040.756,-114.7114,
-066.247,-145.8598,-040.738,-114.7210,
-066.748,-145.5776,-040.729,-114.7336,
-067.093,-145.6664,-040.737,-114.7267,
-067.519,-147.4771,-040.780,-114.7436,
-067.804,-149.9182,-040.747,-114.7358,
-068.024,-152.1500,-040.752,-114.7281,
-068.075,-156.5969,-040.781,-114.7273,
-067.963,-160.5457,-040.790,-114.7468,
-067.782,-163.2798,-040.768,-114.7394,
-067.302,-167.2147,-040.768,-114.7480,
-066.927,-169.7131,-040.776,-114.7304,
-066.655,-170.0975,-040.766,-114.7366,
-066.179,-170.9533,-040.784,-114.7327,
-065.924,-172.0749,-040.762,-114.7266,
-065.634,-172.9892,-040.798,-114.7412,
-065.176,-174.2372,-040.768,-114.7261,
-064.796,-175.0556,-040.793,-114.7524,
-064.493,-175.1627,-040.791,-114.7467,
-063.935,-175.0636,-040.813,-114.7663,
-063.562,-173.7387,-040.815,-114.7510,
-063.245,-172.8553,-040.751,-114.7336,
-062.776,-169.1493,-040.802,-114.7624,
-062.536,-166.1207,-040.780,-114.7415,
-062.303,-163.3666,-040.793,-114.7362,
-061.948,-158.3317,-040.761,-114.7269,
-061.731,-154.8817,-040.765,-114.7153,
-061.567,-151.6704,-040.724,-114.7094,
-061.259,-147.1315,-040.737,-114.7128,
-061.059,-143.9831,-040.766,-114.7257,
-060.816,-141.2034,-040.790,-114.7221,
-060.559,-135.6091,-040.724,-114.6968,
-060.423,-132.2304,-040.746,-114.6901,
-060.304,-127.9144,-040.724,-114.7055,
-060.158,-122.7906,-040.721,-114.6874,
-060.025,-119.1630,-040.694,-114.6860,
-059.910,-113.9787,-040.722,-114.6940,
-059.699,-108.7534,-040.718,-114.6948,
-059.555,-105.3017,-040.721,-114.7001,
-059.375,-100.8067,-040.729,-114.7083,
-059.224,-096.0116,-040.731,-114.7119,
-059.119,-092.7060,-040.737,-114.7086,
-059.031,-087.1967,-040.799,-114.7295,
-059.014,-083.3870,-040.748,-114.7043,
-059.082,-079.8711,-040.753,-114.7172,
-059.252,-074.4695,-040.800,-114.7274,
-059.420,-070.6543,-040.755,-114.7235,
-059.635,-066.1811,-040.758,-114.7235,
-059.875,-060.8063,-040.808,-114.7290,
-060.094,-057.3374,-040.759,-114.7120,
-060.345,-052.5470,-040.740,-114.7081,
-060.720,-047.2398,-040.736,-114.7162,
-061.000,-043.5326,-040.736,-114.6982,
-061.392,-038.5117,-040.752,-114.7009,
-061.892,-032.3628,-040.782,-114.7124,
-062.290,-028.3346,-040.758,-114.7061,
-062.805,-022.0188,-040.733,-114.6903,
-063.311,-015.9173,-040.709,-114.6895,
-063.664,-012.2249,-040.736,-114.7175,
-064.345,-006.4006,-040.762,-114.7154,
-065.020,-001.5994,-040.720,-114.7063,
-065.638,001.6540,-040.722,-114.7086,
-066.671,006.9305,-040.742,-114.7075,
-067.706,010.6491,-040.716,-114.6880,
-068.747,014.7205,-040.741,-114.7045,
-070.488,017.6903,-040.751,-114.7177,
-071.952,019.1292,-040.725,-114.6974,
-074.044,016.7196,-040.711,-114.6911,
-077.179,004.4297,-040.740,-114.7181,
-079.319,-012.2632,-040.735,-114.6991,
-079.448,-046.8996,-040.700,-114.6933,
-076.469,-069.3518,-040.736,-114.7102,
-074.129,-078.9757,-040.749,-114.7394,
-071.823,-083.7614,-040.767,-114.7316,
-069.870,-084.7933,-040.750,-114.7358,
-068.540,-084.4343,-040.762,-114.7400,
-067.218,-082.9149,-040.747,-114.7406,
-066.201,-081.2575,-040.722,-114.7140,
-065.634,-079.9470,-040.755,-114.7348,
-064.932,-076.2853,-040.700,-114.7205,
-064.410,-073.2221,-040.734,-114.7193,
-064.129,-070.6634,-040.776,-114.7331,
-063.625,-064.9165,-040.765,-114.7340,
-063.395,-061.3055,-040.820,-114.7493,
-063.267,-058.1072,-040.800,-114.7408,
-063.019,-052.8072,-040.863,-114.7653,
-063.016,-048.5615,-040.826,-114.7621,
-062.997,-044.0997,-040.868,-114.7871,
-062.891,-039.0712,-040.881,-114.7697,
-062.863,-036.1771,-040.825,-114.7489,
-063.054,-031.8801,-040.894,-114.7690,
-063.175,-025.0153,-040.884,-114.7595,
-063.251,-021.5967,-040.924,-114.7756,
-063.451,-016.8631,-040.885,-114.7559,
-063.780,-010.0193,-040.855,-114.7500,
-063.981,-005.4808,-040.894,-114.7657,
-064.240,000.3666,-040.860,-114.7779,
-064.596,006.4495,-040.856,-114.7727,
-064.758,009.0982,-040.841,-114.7719,
-065.070,013.7252,-040.841,-114.7853,
-065.490,017.4660,-040.828,-114.7778,
-065.935,020.4494,-040.841,-114.7678,
-066.871,025.3312,-040.814,-114.7701,
-067.561,029.9946,-040.816,-114.7662,
-068.271,034.0880,-040.832,-114.7616,
-069.396,040.8952,-040.843,-114.7836,
-070.325,043.8356,-040.821,-114.7585,
-071.278,048.8291,-040.799,-114.7463,
-072.686,056.7083,-040.829,-114.7609,
-073.706,056.0699,-040.838,-114.7791,
-075.340,057.8216,-040.843,-114.7761,
-078.329,059.8201,-040.832,-114.7549,
-080.374,057.2085,-040.855,-114.7736,
-083.601,036.1691,-040.810,-114.7534,
-086.963,-011.3789,-040.819,-114.7475,
-085.398,-055.3721,-040.826,-114.7386,
-079.453,-066.0260,-040.838,-114.7321,
-075.034,-070.9211,-040.847,-114.7585,
-072.754,-074.6923,-040.831,-114.7476,
-070.509,-072.7228,-040.858,-114.7657,
-069.187,-071.5868,-040.814,-114.7505,
-067.836,-071.0756,-040.837,-114.7485,
-066.599,-069.0744,-040.821,-114.7552,
-065.869,-068.8827,-040.797,-114.7353,
-065.377,-066.6007,-040.825,-114.7314,
-064.771,-066.7174,-040.811,-114.7358,
-064.232,-067.1379,-040.823,-114.7331,
-064.052,-064.9121,-040.839,-114.7318,
-063.534,-063.6953,-040.826,-114.7399,
-063.443,-062.1816,-040.828,-114.7363,
-062.917,-060.2634,-040.817,-114.7257,
-062.362,-058.2369,-040.835,-114.7321,
-062.082,-057.6811,-040.807,-114.7286,
-061.638,-056.8461,-040.809,-114.7234,
