FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AHHF085.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,8.45,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-067.491,-070.1188,-046.959,-110.8567,
-067.322,-071.4484,-046.954,-110.8622,
-067.090,-072.2970,-046.967,-110.8688,
-067.036,-073.3758,-046.966,-110.8684,
-066.927,-073.5923,-046.982,-110.8639,
-066.828,-073.5897,-046.977,-110.8720,
-066.754,-073.1292,-046.986,-110.8605,
-066.617,-072.7988,-046.978,-110.8713,
-066.474,-072.3115,-046.993,-110.8658,
-066.207,-071.4881,-046.995,-110.8648,
-065.897,-071.0127,-046.997,-110.8677,
-065.513,-070.2843,-047.003,-110.8608,
-065.178,-069.4726,-047.002,-110.8582,
-064.820,-069.2219,-046.988,-110.8624,
-064.459,-069.0933,-046.986,-110.8523,
-064.296,-068.6728,-046.973,-110.8583,
-064.112,-068.5215,-046.967,-110.8395,
-063.974,-067.6904,-046.966,-110.8466,
-063.857,-066.9589,-046.987,-110.8588,
-063.693,-065.8749,-046.976,-110.8534,
-063.529,-064.6858,-046.977,-110.8456,
-063.345,-063.7706,-046.986,-110.8595,
-063.167,-062.5893,-046.993,-110.8511,
-062.999,-061.1241,-046.986,-110.8455,
-062.893,-060.0458,-046.976,-110.8477,
-062.796,-058.8470,-046.984,-110.8536,
-062.728,-057.3172,-046.987,-110.8445,
-062.690,-056.0918,-046.983,-110.8454,
-062.690,-054.0560,-046.991,-110.8475,
-062.727,-051.9885,-046.993,-110.8482,
-062.745,-050.4970,-046.986,-110.8501,
-062.786,-048.2332,-046.988,-110.8502,
-062.819,-046.3698,-046.968,-110.8438,
-062.855,-044.6863,-046.972,-110.8372,
-062.866,-042.4213,-046.960,-110.8411,
-062.863,-040.5020,-046.957,-110.8349,
-062.865,-038.7900,-046.951,-110.8387,
-062.853,-036.2932,-046.953,-110.8312,
-062.826,-034.5406,-046.958,-110.8417,
-062.917,-033.0589,-046.972,-110.8447,
-063.091,-031.1698,-046.970,-110.8496,
-063.274,-029.3582,-046.972,-110.8472,
-063.596,-027.1323,-046.961,-110.8511,
-063.940,-023.5215,-046.965,-110.8462,
-064.144,-020.1216,-046.955,-110.8430,
-064.395,-016.6413,-046.960,-110.8439,
-064.649,-012.2040,-046.960,-110.8507,
-064.778,-009.1181,-046.951,-110.8411,
-065.041,-005.2451,-046.951,-110.8404,
-065.223,-001.7193,-046.961,-110.8415,
-065.401,000.9077,-046.965,-110.8430,
-065.602,003.2023,-046.976,-110.8470,
-065.859,005.2150,-046.972,-110.8450,
-066.098,006.5703,-046.971,-110.8507,
-066.468,008.0889,-046.967,-110.8495,
-066.707,009.0435,-046.971,-110.8482,
-066.914,009.5897,-046.973,-110.8547,
-067.154,009.7820,-046.978,-110.8524,
-067.319,009.8845,-046.973,-110.8501,
-067.495,009.9687,-046.968,-110.8510,
-067.568,009.1223,-046.979,-110.8381,
-067.594,007.4809,-046.981,-110.8507,
-067.537,006.4289,-046.963,-110.8380,
-067.432,004.8927,-046.957,-110.8314,
-067.374,003.9026,-046.959,-110.8382,
-067.240,004.0487,-046.962,-110.8383,
-067.032,004.0338,-046.957,-110.8321,
-066.851,004.4157,-046.950,-110.8386,
-066.637,005.8744,-046.959,-110.8453,
-066.408,007.7396,-046.960,-110.8347,
-066.199,009.6974,-046.963,-110.8316,
-065.998,013.3617,-046.963,-110.8437,
-065.849,017.3354,-046.956,-110.8399,
-065.764,021.2174,-046.950,-110.8390,
-065.695,027.9480,-046.949,-110.8325,
-065.708,033.0212,-046.952,-110.8294,
-065.731,039.1661,-046.950,-110.8276,
-065.791,047.8682,-046.949,-110.8275,
-065.801,054.8206,-046.945,-110.8128,
-065.815,062.7511,-046.950,-110.8247,
-065.923,072.0149,-046.967,-110.8235,
-066.025,079.2341,-046.963,-110.8223,
-066.197,088.2903,-046.973,-110.8255,
-066.479,098.5700,-046.975,-110.8226,
-066.704,106.7274,-046.966,-110.8220,
-067.051,117.4868,-046.966,-110.8342,
-067.399,129.7141,-046.967,-110.8245,
-067.672,139.5757,-046.962,-110.8187,
-067.896,154.3163,-046.953,-110.8109,
-068.027,167.4331,-046.940,-110.8202,
-067.984,178.0227,-046.945,-110.8157,
-067.964,-166.9091,-046.934,-110.8143,
-067.854,-155.3563,-046.929,-110.8159,
-067.819,-146.1046,-046.929,-110.8120,
-067.749,-131.9606,-046.939,-110.8205,
-067.675,-121.7479,-046.947,-110.8207,
-067.689,-111.7468,-046.941,-110.8262,
-067.668,-098.4099,-046.939,-110.8230,
-067.716,-088.9491,-046.943,-110.8249,
-067.739,-078.5364,-046.942,-110.8188,
-067.718,-065.9398,-046.946,-110.8328,
-067.758,-056.7909,-046.946,-110.8182,
-067.735,-046.3253,-046.939,-110.8226,
-067.670,-035.7880,-046.937,-110.8254,
-067.743,-027.9572,-046.932,-110.8316,
-067.734,-018.7148,-046.928,-110.8223,
-067.825,-009.1977,-046.925,-110.8279,
-067.875,-002.5684,-046.927,-110.8240,
-067.977,005.4260,-046.927,-110.8233,
-068.237,012.8105,-046.926,-110.8208,
-068.423,018.0759,-046.928,-110.8159,
-068.822,025.1236,-046.937,-110.8218,
-069.257,030.9210,-046.932,-110.8160,
-069.643,035.2807,-046.929,-110.8248,
-070.304,039.7465,-046.928,-110.8315,
-070.839,042.3202,-046.932,-110.8185,
-071.437,043.2597,-046.937,-110.8233,
-072.106,043.1056,-046.934,-110.8168,
-072.430,041.9579,-046.938,-110.8315,
-072.475,039.8350,-046.941,-110.8223,
-072.227,036.6641,-046.934,-110.8171,
-071.903,034.7123,-046.933,-110.8221,
-071.495,034.9265,-046.937,-110.8229,
-070.612,036.0088,-046.921,-110.8210,
-069.817,037.1839,-046.929,-110.8163,
-068.969,038.8397,-046.940,-110.8273,
-068.185,042.4619,-046.934,-110.8250,
-067.715,046.3928,-046.944,-110.8245,
-067.031,053.5974,-046.953,-110.8255,
-066.134,060.0659,-046.953,-110.8106,
-065.424,063.5205,-046.965,-110.8138,
-064.651,067.8928,-046.957,-110.8193,
-064.181,072.4464,-046.960,-110.8015,
-063.855,076.8294,-046.946,-110.8029,
-063.330,083.8579,-046.939,-110.7999,
-062.938,089.0560,-046.940,-110.7875,
-062.575,093.8653,-046.935,-110.7934,
-062.294,099.9851,-046.929,-110.7914,
-062.112,105.2304,-046.937,-110.7870,
-061.959,110.8117,-046.945,-110.7872,
-061.804,117.3170,-046.950,-110.7874,
-061.687,121.8678,-046.948,-110.7823,
