FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AHVF18.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,18,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-068.116,-143.8899,-047.985,154.3948,
-068.458,-141.9093,-047.959,154.3857,
-068.662,-139.4085,-047.984,154.3785,
-068.703,-135.3469,-047.996,154.3699,
-068.842,-129.3345,-047.980,154.3796,
-069.198,-123.6044,-047.954,154.3753,
-069.609,-119.7350,-047.955,154.3869,
-069.700,-119.3691,-047.960,154.3728,
-069.290,-118.0818,-047.973,154.3743,
-068.982,-114.6047,-047.960,154.3744,
-068.860,-109.6285,-047.962,154.3761,
-069.150,-102.3491,-047.998,154.3801,
-069.444,-098.0894,-047.979,154.3849,
-069.396,-092.3674,-047.981,154.3713,
-068.906,-086.4831,-047.977,154.3678,
-068.602,-081.5845,-047.967,154.3866,
-068.198,-073.4881,-047.961,154.3844,
-067.938,-067.9926,-048.002,154.3866,
-067.741,-063.4247,-047.996,154.3744,
-067.507,-055.2963,-047.985,154.3902,
-067.445,-048.7997,-047.987,154.3903,
-067.442,-043.6432,-047.980,154.4087,
-067.552,-034.0282,-047.979,154.4193,
-067.649,-027.2577,-047.975,154.4165,
-067.701,-023.0121,-047.995,154.4143,
-067.456,-014.9353,-047.989,154.4052,
-067.482,-006.8609,-047.982,154.4189,
-067.678,-000.0372,-047.971,154.4207,
-068.412,012.5652,-047.990,154.4244,
-068.743,020.8385,-047.991,154.4269,
-068.963,029.2984,-047.958,154.4284,
-069.183,043.7914,-047.963,154.4496,
-069.478,053.3905,-047.978,154.4514,
-069.900,064.5212,-047.983,154.4681,
-071.046,082.0387,-047.973,154.4455,
-071.952,093.0105,-047.935,154.4532,
-073.106,107.4052,-047.962,154.4411,
-074.173,127.1833,-047.978,154.4444,
-074.632,137.2573,-047.991,154.4345,
-075.365,154.6488,-047.976,154.4373,
-076.179,-179.1931,-047.985,154.4231,
-077.086,-162.7346,-047.998,154.4353,
-078.361,-137.0563,-047.989,154.4112,
-078.455,-109.2395,-047.984,154.4076,
-077.761,-090.4346,-047.972,154.4154,
-076.292,-069.5542,-047.984,154.4061,
-075.903,-046.4494,-047.984,154.4184,
-075.543,-027.9949,-047.974,154.3981,
-073.818,-006.1473,-047.977,154.4122,
-072.680,011.6682,-047.971,154.4314,
-071.653,022.6962,-047.986,154.4216,
-070.795,038.4112,-047.965,154.4292,
-070.700,049.3330,-047.972,154.4231,
-070.684,057.5812,-047.973,154.4194,
-070.438,070.5461,-047.977,154.4352,
-070.068,080.6401,-047.980,154.4401,
-069.750,091.3164,-047.951,154.4353,
-069.376,104.9583,-047.990,154.4251,
-069.536,116.1026,-047.976,154.4259,
-069.935,129.1955,-047.964,154.4337,
-070.587,142.7609,-047.993,154.4178,
-071.031,151.0619,-047.984,154.4153,
-071.407,159.4246,-047.954,154.4096,
-071.616,169.2974,-047.951,154.4253,
-071.890,176.6633,-047.972,154.4154,
-072.288,-173.4448,-047.962,154.4174,
-072.924,-163.6160,-047.959,154.4216,
-073.515,-154.5869,-047.952,154.4231,
-073.845,-142.9670,-047.951,154.4330,
-073.876,-133.0563,-047.979,154.4316,
-074.453,-127.1931,-047.983,154.4290,
-077.161,-121.3790,-047.977,154.4168,
-081.321,-121.9250,-047.976,154.3945,
-086.457,-147.8324,-047.969,154.3739,
-084.522,175.4073,-047.975,154.3791,
-081.101,170.5514,-047.961,154.3616,
-076.945,172.0529,-047.951,154.3505,
-073.625,178.0083,-047.966,154.3544,
-072.124,-176.6292,-047.979,154.3351,
-070.883,-168.7429,-047.981,154.3361,
-069.891,-159.5323,-047.961,154.3295,
-069.287,-150.6876,-047.971,154.3351,
-068.821,-137.4059,-047.980,154.3529,
-068.385,-124.3538,-047.972,154.3543,
-068.287,-114.2040,-047.939,154.3508,
-068.291,-100.1698,-047.979,154.3435,
-068.441,-087.8472,-048.014,154.3480,
-068.575,-079.0295,-048.009,154.3466,
-068.696,-068.6577,-047.991,154.3601,
-069.037,-061.9964,-047.975,154.3577,
-069.496,-056.9109,-047.998,154.3616,
-069.940,-049.1929,-047.995,154.3552,
-070.029,-041.7564,-048.006,154.3571,
-070.024,-034.1203,-047.982,154.3653,
-070.633,-022.4653,-047.991,154.3701,
-071.996,-013.4162,-047.988,154.3529,
-074.888,000.2156,-047.990,154.3524,
-079.657,021.7513,-047.997,154.3393,
-084.372,029.1714,-047.989,154.3392,
-093.916,-041.2243,-047.993,154.3350,
-079.714,-105.0677,-047.982,154.3393,
-075.441,-103.8666,-047.973,154.3368,
-072.065,-093.3383,-047.983,154.3386,
-069.399,-080.9490,-047.985,154.3465,
-068.112,-072.2155,-047.971,154.3656,
-067.044,-059.6220,-047.971,154.3488,
-066.571,-047.8224,-047.985,154.3450,
-066.287,-038.6208,-047.984,154.3502,
-066.091,-026.7136,-047.980,154.3613,
-066.473,-018.5063,-047.980,154.3505,
-067.349,-010.0734,-047.978,154.3481,
-069.264,008.1964,-047.969,154.3424,
-070.266,022.7421,-047.966,154.3529,
-071.361,037.0016,-047.951,154.3513,
-073.718,059.0096,-047.973,154.3582,
-075.898,080.1689,-047.999,154.3518,
-078.024,110.1035,-047.975,154.3531,
-079.305,157.6781,-047.981,154.3599,
-077.961,-170.4396,-048.005,154.3516,
-075.319,-138.5451,-047.999,154.3533,
-072.900,-112.2897,-047.966,154.3690,
-070.965,-095.0921,-047.949,154.3633,
-068.876,-077.7378,-047.961,154.3547,
-067.334,-064.0897,-047.989,154.3691,
-066.336,-053.8615,-047.994,154.3612,
-065.117,-039.5796,-047.962,154.3456,
-064.580,-028.7081,-047.971,154.3450,
-064.244,-018.7338,-047.980,154.3345,
-063.944,-004.9624,-047.975,154.3454,
-064.033,004.9957,-047.966,154.3437,
-064.466,016.0922,-047.970,154.3610,
-065.150,033.8910,-047.996,154.3430,
-065.594,046.9017,-047.976,154.3417,
-066.071,062.5839,-047.967,154.3675,
-066.239,082.4569,-047.956,154.3556,
-066.078,094.7232,-047.967,154.3553,
-066.183,109.5071,-047.972,154.3597,
-066.401,125.7216,-047.985,154.3280,
-066.342,136.7081,-047.983,154.3394,
-066.215,150.4238,-047.977,154.3242,
-066.317,161.5936,-047.975,154.3163,
-066.565,169.0451,-047.969,154.3188,
-067.131,177.1614,-047.957,154.3252,
-068.052,-177.6967,-047.966,154.3177,
-068.951,-174.4882,-047.966,154.3062,
-070.420,-166.0187,-048.004,154.3132,
-071.449,-158.5423,-047.997,154.3117,
-072.204,-156.0877,-047.966,154.3246,
