FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AVHF18.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,18,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-070.475,160.9036,-043.754,155.8893,
-070.861,142.8651,-043.724,155.8810,
-069.950,125.7026,-043.696,155.8900,
-068.600,115.7521,-043.703,155.8900,
-066.917,109.6287,-043.741,155.8753,
-065.536,107.5652,-043.758,155.8848,
-064.504,107.3889,-043.751,155.8837,
-063.496,108.4251,-043.729,155.8955,
-062.851,111.5987,-043.725,155.8840,
-062.560,115.2411,-043.756,155.8804,
-062.326,120.6640,-043.767,155.8761,
-062.311,128.2179,-043.755,155.8868,
-062.478,134.9631,-043.758,155.8821,
-063.176,145.5538,-043.808,155.8678,
-064.383,155.6527,-043.807,155.8959,
-065.756,163.4692,-043.799,155.9061,
-068.572,175.2167,-043.761,155.9055,
-071.707,-171.9187,-043.787,155.9055,
-075.275,-154.4998,-043.813,155.9110,
-080.304,-058.3630,-043.868,155.8874,
-073.979,-004.3570,-043.837,155.9043,
-070.690,014.2014,-043.817,155.9168,
-066.907,036.9236,-043.790,155.9071,
-064.772,051.4564,-043.790,155.8910,
-063.518,061.0000,-043.775,155.8821,
-061.784,077.2053,-043.807,155.8684,
-060.921,089.7051,-043.782,155.8634,
-060.333,100.2199,-043.774,155.8724,
-059.599,120.0068,-043.702,155.8627,
-059.286,132.0337,-043.716,155.8505,
-059.095,143.9465,-043.774,155.8347,
-059.087,163.1771,-043.776,155.8230,
-059.195,175.4661,-043.774,155.8309,
-059.396,-170.0146,-043.775,155.8303,
-059.840,-147.9886,-043.792,155.8207,
-060.244,-134.1804,-043.809,155.8329,
-060.956,-117.4423,-043.829,155.8393,
-062.164,-090.4301,-043.779,155.8483,
-062.853,-071.3991,-043.756,155.8560,
-063.569,-042.6830,-043.741,155.8556,
-063.893,-005.9933,-043.745,155.8596,
-063.736,016.9567,-043.771,155.8545,
-062.868,049.1012,-043.758,155.8312,
-061.401,081.2579,-043.735,155.8267,
-060.552,098.5989,-043.720,155.8121,
-059.447,124.4744,-043.768,155.7763,
-058.776,145.9389,-043.837,155.7512,
-058.394,160.9674,-043.822,155.7512,
-057.954,-172.7910,-043.778,155.7657,
-057.808,-152.7467,-043.748,155.7727,
-057.857,-136.7474,-043.758,155.7567,
-058.218,-109.4312,-043.757,155.7696,
-058.640,-088.8119,-043.778,155.7913,
-059.192,-068.0362,-043.788,155.7760,
-060.187,-036.1068,-043.794,155.7654,
-060.955,-010.9196,-043.784,155.7892,
-061.726,019.2258,-043.726,155.8035,
-062.196,063.1213,-043.709,155.8065,
-061.884,094.4053,-043.737,155.7840,
-060.942,128.8667,-043.790,155.7567,
-059.467,165.1770,-043.822,155.7482,
-058.535,-171.1363,-043.789,155.7679,
-057.533,-142.2437,-043.783,155.7425,
-056.609,-112.9015,-043.742,155.7533,
-056.061,-092.4481,-043.740,155.7621,
-055.561,-065.1575,-043.792,155.7174,
-055.350,-040.4369,-043.827,155.6898,
-055.326,-019.9827,-043.790,155.7227,
-055.433,010.4325,-043.743,155.7490,
-055.532,035.3620,-043.726,155.7435,
-055.629,058.6308,-043.749,155.7138,
-055.788,091.2727,-043.745,155.7354,
-055.801,115.1390,-043.731,155.7146,
-055.770,140.7385,-043.704,155.7094,
-055.697,170.8620,-043.712,155.7518,
-055.671,-167.5656,-043.744,155.7455,
-055.698,-141.3938,-043.764,155.7253,
-055.722,-114.9960,-043.788,155.7496,
-055.812,-096.2627,-043.774,155.7722,
-055.992,-072.8043,-043.761,155.7613,
-056.295,-048.6201,-043.799,155.7486,
-056.540,-030.6118,-043.811,155.7520,
-056.942,-005.7552,-043.807,155.7896,
-057.346,018.4045,-043.771,155.7933,
-057.594,036.8078,-043.724,155.7899,
-057.700,065.7443,-043.744,155.7935,
-057.619,088.2394,-043.783,155.7842,
-057.438,106.0891,-043.778,155.7704,
-057.106,133.9045,-043.758,155.7661,
-056.866,154.1089,-043.723,155.7783,
-056.618,172.6747,-043.748,155.7841,
-056.374,-159.2770,-043.812,155.7598,
-056.305,-139.4975,-043.812,155.7475,
-056.260,-118.6736,-043.798,155.7427,
-056.218,-087.1218,-043.760,155.7835,
-056.070,-065.5648,-043.764,155.7621,
-055.821,-041.1283,-043.786,155.7301,
-055.469,-010.5779,-043.810,155.7516,
-055.133,009.3315,-043.804,155.7548,
-054.712,033.6282,-043.794,155.7265,
-054.223,062.7729,-043.766,155.7220,
-054.021,081.3664,-043.750,155.7481,
-053.884,105.2652,-043.762,155.7427,
-053.816,131.9401,-043.810,155.6872,
-053.855,149.7889,-043.818,155.6951,
-053.891,177.1766,-043.831,155.7374,
-053.749,-157.6083,-043.826,155.7236,
-053.562,-139.4649,-043.798,155.7134,
-053.149,-112.3446,-043.775,155.7602,
-052.907,-092.7840,-043.751,155.7896,
-052.796,-076.7632,-043.782,155.7838,
-052.760,-053.9626,-043.816,155.7505,
-052.871,-038.2528,-043.777,155.7609,
-053.050,-021.8128,-043.747,155.7990,
-053.375,000.4454,-043.723,155.8356,
-053.674,016.4982,-043.766,155.8014,
-053.976,035.4666,-043.787,155.7844,
-054.249,057.4429,-043.741,155.7880,
-054.301,073.2044,-043.706,155.8167,
-054.230,091.9018,-043.744,155.7971,
-054.090,109.8642,-043.819,155.7503,
-053.931,123.8587,-043.841,155.7094,
-053.713,140.3908,-043.811,155.7130,
-053.477,155.4239,-043.791,155.7409,
-053.296,167.3373,-043.809,155.7647,
-052.963,-176.8567,-043.806,155.7753,
-052.651,-164.6885,-043.783,155.7408,
-052.393,-154.3268,-043.742,155.7589,
-052.067,-139.6623,-043.730,155.7294,
-051.837,-129.3754,-043.745,155.7269,
-051.704,-119.2315,-043.758,155.7369,
-051.610,-105.2174,-043.792,155.7704,
-051.531,-095.4684,-043.803,155.7886,
-051.426,-084.1402,-043.767,155.7931,
-051.349,-070.2365,-043.777,155.7560,
-051.340,-060.8214,-043.770,155.7448,
-051.321,-048.5640,-043.751,155.7407,
-051.311,-036.5594,-043.740,155.7471,
-051.345,-027.9952,-043.777,155.7383,
-051.488,-016.5981,-043.820,155.7448,
-051.842,-006.5212,-043.817,155.7669,
-052.257,000.1352,-043.789,155.7670,
-053.093,009.2855,-043.772,155.7784,
-054.102,018.0971,-043.764,155.7780,
-054.978,024.0215,-043.745,155.7853,
-056.710,032.9264,-043.730,155.7924,
-058.287,039.4767,-043.757,155.7941,
-059.659,043.2362,-043.795,155.7930,
-062.291,048.1200,-043.816,155.8111,
