FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AVVF03.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,3,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-070.576,088.9159,-036.714,-022.9553,
-068.616,078.7852,-036.750,-022.9810,
-066.877,073.3134,-036.739,-022.9804,
-065.561,069.9220,-036.721,-022.9523,
-064.094,066.9241,-036.761,-022.9855,
-062.993,065.2384,-036.784,-022.9895,
-062.006,064.5153,-036.758,-022.9657,
-060.998,063.6945,-036.735,-022.9350,
-060.026,063.3139,-036.731,-022.9111,
-059.280,063.3028,-036.707,-022.8871,
-058.424,063.8426,-036.695,-022.8695,
-057.674,064.3253,-036.712,-022.8608,
-057.104,064.7362,-036.705,-022.8561,
-056.419,065.7474,-036.729,-022.8616,
-055.853,066.6828,-036.734,-022.8704,
-055.472,067.5453,-036.747,-022.8827,
-054.929,069.0688,-036.824,-022.9298,
-054.447,070.0069,-036.779,-022.8960,
-054.129,070.8091,-036.782,-022.9058,
-053.674,072.2081,-036.732,-022.8510,
-053.310,073.4599,-036.722,-022.8369,
-053.092,074.5487,-036.724,-022.8531,
-052.722,075.8455,-036.730,-022.8679,
-052.422,077.4144,-036.718,-022.8663,
-052.230,078.2559,-036.685,-022.8395,
-051.911,080.0609,-036.742,-022.8824,
-051.686,081.6606,-036.737,-022.8842,
-051.509,082.8214,-036.750,-022.8983,
-051.146,084.8832,-036.719,-022.8877,
-050.954,086.2537,-036.752,-022.9175,
-050.784,087.7073,-036.737,-022.8904,
-050.506,090.2562,-036.810,-022.9365,
-050.320,091.9561,-036.855,-022.9746,
-050.111,093.4904,-036.791,-022.9256,
-049.879,096.0295,-036.761,-022.9002,
-049.732,097.7230,-036.736,-022.8571,
-049.564,099.8664,-036.750,-022.8645,
-049.411,102.5696,-036.731,-022.8416,
-049.305,104.3641,-036.704,-022.8128,
-049.175,106.8586,-036.688,-022.7815,
-049.043,110.0615,-036.615,-022.6970,
-048.974,112.2326,-036.639,-022.7205,
-048.864,114.9808,-036.677,-022.7426,
-048.762,118.5683,-036.691,-022.7609,
-048.683,120.5568,-036.690,-022.7443,
-048.579,124.0090,-036.724,-022.7680,
-048.495,127.5165,-036.734,-022.7722,
-048.400,129.4886,-036.707,-022.7595,
-048.285,133.4615,-036.730,-022.7813,
-048.204,136.5378,-036.745,-022.8119,
-048.141,139.0969,-036.783,-022.8182,
-048.088,143.5617,-036.746,-022.8008,
-048.040,146.5599,-036.750,-022.7913,
-048.012,149.2917,-036.759,-022.8032,
-048.000,153.4979,-036.761,-022.7897,
-047.987,156.6128,-036.741,-022.7911,
-047.982,160.1301,-036.793,-022.8485,
-048.018,164.4033,-036.792,-022.8828,
-048.064,167.1828,-036.773,-022.8876,
-048.089,170.8826,-036.736,-022.8535,
-048.165,175.1754,-036.754,-022.9016,
-048.239,178.0879,-036.733,-022.9162,
-048.321,-178.2600,-036.711,-022.8955,
-048.417,-174.2934,-036.721,-022.9162,
-048.504,-171.5152,-036.690,-022.8539,
-048.678,-167.9261,-036.718,-022.8664,
-048.845,-164.2180,-036.649,-022.8151,
-049.005,-161.3275,-036.608,-022.7597,
-049.282,-156.6459,-036.582,-022.7224,
-049.515,-152.6593,-036.610,-022.7197,
-049.729,-148.6677,-036.692,-022.8147,
-050.046,-143.1648,-036.702,-022.8280,
-050.273,-138.9038,-036.698,-022.8146,
-050.518,-134.2737,-036.652,-022.7978,
-050.776,-128.6858,-036.589,-022.7250,
-050.947,-124.3448,-036.592,-022.7437,
-051.112,-118.8339,-036.560,-022.7213,
-051.287,-112.5301,-036.501,-022.6770,
-051.402,-108.1334,-036.489,-022.6799,
-051.554,-102.3883,-036.502,-022.6994,
-051.696,-096.1509,-036.528,-022.7349,
-051.802,-091.5774,-036.547,-022.7526,
-051.952,-085.3779,-036.577,-022.7685,
-052.059,-079.5561,-036.593,-022.7755,
-052.166,-075.0488,-036.562,-022.7263,
-052.290,-067.9394,-036.611,-022.7601,
-052.385,-062.0035,-036.608,-022.7440,
-052.469,-057.3484,-036.612,-022.7308,
-052.540,-049.9292,-036.598,-022.7160,
-052.595,-044.0919,-036.580,-022.6978,
-052.622,-038.9712,-036.595,-022.7066,
-052.613,-031.5355,-036.600,-022.7351,
-052.594,-026.3684,-036.620,-022.7875,
-052.535,-020.9158,-036.610,-022.7788,
-052.464,-013.9945,-036.612,-022.7910,
-052.404,-009.3459,-036.629,-022.8467,
-052.279,-003.8138,-036.621,-022.8338,
-052.124,002.5906,-036.609,-022.8213,
-052.018,006.7769,-036.634,-022.8441,
-051.871,011.8232,-036.609,-022.8014,
-051.709,017.6869,-036.657,-022.8305,
-051.593,021.7338,-036.691,-022.8503,
-051.467,026.1877,-036.677,-022.8071,
-051.300,031.2462,-036.633,-022.7505,
-051.196,034.6602,-036.669,-022.7940,
-051.020,039.5913,-036.648,-022.7597,
-050.871,043.9380,-036.649,-022.7532,
-050.760,046.8906,-036.616,-022.7353,
-050.579,051.4731,-036.601,-022.7270,
-050.447,054.9650,-036.578,-022.7051,
-050.340,057.9015,-036.585,-022.7129,
-050.204,062.0335,-036.546,-022.6780,
-050.110,064.8331,-036.525,-022.6540,
-050.023,067.5544,-036.554,-022.6903,
-049.921,071.3437,-036.562,-022.7162,
-049.887,074.0807,-036.588,-022.7454,
-049.848,076.9907,-036.572,-022.7286,
-049.815,080.4892,-036.562,-022.7158,
-049.817,082.8307,-036.577,-022.7476,
-049.804,085.6994,-036.598,-022.7697,
-049.799,088.9405,-036.608,-022.7632,
-049.822,091.2463,-036.589,-022.7523,
-049.861,093.9602,-036.614,-022.7629,
-049.904,096.7684,-036.582,-022.7438,
-049.961,098.6241,-036.582,-022.7472,
-050.082,101.3912,-036.629,-022.7945,
-050.202,103.6733,-036.660,-022.7950,
-050.316,105.6239,-036.634,-022.7816,
-050.493,108.4107,-036.616,-022.7635,
-050.667,110.5197,-036.656,-022.7819,
-050.842,112.7107,-036.620,-022.7502,
-051.082,115.4403,-036.613,-022.7218,
-051.293,117.6592,-036.616,-022.7436,
-051.506,120.2736,-036.620,-022.7328,
-051.760,123.2943,-036.591,-022.6843,
-051.938,125.5848,-036.549,-022.6515,
-052.159,128.6972,-036.501,-022.6008,
-052.424,132.0775,-036.487,-022.5720,
-052.571,134.3871,-036.476,-022.5634,
-052.804,136.9978,-036.463,-022.5442,
-052.996,140.0049,-036.442,-022.5374,
-053.113,142.0770,-036.434,-022.5569,
-053.405,144.9787,-036.418,-022.5382,
-053.583,147.3425,-036.432,-022.5746,
