FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AVVF13.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,13,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-067.803,-125.3266,-042.137,156.9021,
-066.358,-124.8078,-042.130,156.9018,
-065.285,-124.3523,-042.133,156.8906,
-064.444,-125.0553,-042.146,156.8762,
-063.663,-126.5216,-042.197,156.8626,
-063.049,-128.3356,-042.232,156.8485,
-062.514,-130.3452,-042.279,156.8172,
-061.918,-131.8302,-042.299,156.8273,
-061.188,-132.3258,-042.313,156.8129,
-060.657,-132.5419,-042.302,156.8030,
-060.233,-132.2941,-042.281,156.8106,
-059.860,-131.5858,-042.293,156.8026,
-059.552,-130.3900,-042.270,156.8205,
-059.228,-128.6481,-042.284,156.7913,
-058.901,-125.3458,-042.273,156.7851,
-058.662,-122.2949,-042.257,156.7948,
-058.307,-118.4065,-042.245,156.8109,
-057.723,-114.0224,-042.167,156.8206,
-057.186,-110.8613,-042.148,156.8229,
-056.515,-106.9448,-042.147,156.8300,
-055.819,-103.3299,-042.203,156.8072,
-055.301,-100.9821,-042.270,156.7936,
-054.673,-098.0163,-042.345,156.7612,
-054.114,-095.3505,-042.314,156.7803,
-053.744,-092.8683,-042.234,156.8137,
-053.318,-089.5921,-042.162,156.8376,
-052.963,-086.1722,-042.156,156.8385,
-052.736,-083.6555,-042.197,156.8324,
-052.402,-079.8322,-042.243,156.8023,
-052.129,-075.7455,-042.211,156.8133,
-051.945,-072.7377,-042.180,156.8099,
-051.745,-067.9369,-042.134,156.8143,
-051.656,-064.0358,-042.122,156.7962,
-051.633,-060.1329,-042.153,156.8005,
-051.643,-052.9177,-042.201,156.7922,
-051.667,-047.1636,-042.205,156.7805,
-051.669,-040.6307,-042.201,156.7797,
-051.637,-031.2936,-042.191,156.7938,
-051.568,-024.5548,-042.199,156.7977,
-051.494,-017.5954,-042.230,156.8052,
-051.411,-009.6580,-042.295,156.7890,
-051.346,-003.2951,-042.326,156.7857,
-051.274,004.9488,-042.331,156.7988,
-051.182,014.5614,-042.238,156.7995,
-051.108,022.2427,-042.203,156.7953,
-051.030,030.8036,-042.153,156.8076,
-050.998,039.9325,-042.165,156.7932,
-051.028,046.9053,-042.201,156.7932,
-051.114,056.5088,-042.294,156.7648,
-051.215,065.9944,-042.325,156.7741,
-051.290,073.4136,-042.301,156.7921,
-051.392,084.3490,-042.250,156.8177,
-051.482,094.1150,-042.250,156.8166,
-051.583,102.0540,-042.217,156.7970,
-051.784,113.6733,-042.248,156.7525,
-051.979,122.8655,-042.256,156.7262,
-052.137,131.7782,-042.273,156.7073,
-052.324,144.4822,-042.228,156.7166,
-052.476,154.1286,-042.215,156.7323,
-052.700,163.9075,-042.221,156.7573,
-053.104,176.3351,-042.260,156.7693,
-053.520,-173.6263,-042.285,156.7558,
-054.012,-162.3846,-042.261,156.7479,
-054.638,-148.7075,-042.198,156.7381,
-055.153,-137.9964,-042.171,156.7460,
-055.792,-126.0305,-042.154,156.7717,
-056.580,-111.8474,-042.169,156.7831,
-057.195,-100.2902,-042.206,156.7872,
-057.892,-084.5002,-042.205,156.7757,
-058.511,-069.5302,-042.186,156.7890,
-058.997,-057.2712,-042.200,156.7762,
-059.705,-041.2648,-042.206,156.7690,
-060.458,-027.4410,-042.205,156.7621,
-061.283,-015.6119,-042.182,156.7780,
-062.708,000.8821,-042.162,156.7827,
-064.153,014.4925,-042.137,156.8044,
-065.903,029.0490,-042.084,156.8142,
-068.666,050.0756,-042.081,156.8256,
-071.385,071.3062,-042.071,156.8255,
-074.736,107.6466,-042.122,156.8056,
-075.014,172.1216,-042.173,156.7871,
-071.999,-151.7819,-042.194,156.7803,
-068.810,-124.2513,-042.187,156.7759,
-066.443,-105.0462,-042.120,156.8133,
-065.019,-092.0641,-042.087,156.8169,
-063.559,-077.2509,-042.081,156.8247,
-062.516,-063.2105,-042.109,156.8100,
-061.916,-051.2006,-042.144,156.8038,
-061.419,-034.2485,-042.140,156.8024,
-061.128,-019.0664,-042.117,156.8020,
-060.959,-006.1630,-042.113,156.8074,
-060.684,014.1895,-042.125,156.8069,
-060.483,030.7272,-042.166,156.7850,
-060.283,045.4903,-042.201,156.7743,
-059.909,067.6713,-042.194,156.7626,
-059.611,084.8037,-042.162,156.7812,
-059.207,101.9075,-042.116,156.7924,
-058.562,124.3029,-042.051,156.8030,
-058.045,140.2915,-042.065,156.7789,
-057.479,156.7066,-042.119,156.7857,
-056.858,175.3056,-042.134,156.7937,
-056.405,-170.9210,-042.114,156.8042,
-055.902,-156.0219,-042.105,156.7879,
-055.385,-139.6125,-042.122,156.7682,
-055.007,-127.3681,-042.130,156.7720,
-054.629,-113.3118,-042.149,156.7814,
-054.286,-098.5749,-042.182,156.7997,
-054.085,-087.5923,-042.174,156.7833,
-053.872,-073.2256,-042.154,156.7859,
-053.706,-059.6702,-042.132,156.7601,
-053.616,-048.8601,-042.141,156.7729,
-053.559,-033.3435,-042.166,156.7718,
-053.593,-020.1806,-042.171,156.7672,
-053.704,-009.0136,-042.180,156.7999,
-053.940,007.6327,-042.142,156.8077,
-054.129,020.7462,-042.133,156.8066,
-054.315,033.6979,-042.126,156.7798,
-054.556,051.2992,-042.169,156.7720,
-054.762,063.8511,-042.128,156.7789,
-055.066,077.1348,-042.082,156.8027,
-055.454,092.8285,-042.048,156.8095,
-055.741,105.1092,-042.002,156.8010,
-056.017,119.6438,-042.002,156.7787,
-056.354,136.6190,-042.038,156.7490,
-056.648,149.7643,-042.089,156.7507,
-056.990,165.8419,-042.151,156.7417,
-057.268,-175.4878,-042.188,156.7284,
-057.359,-162.0228,-042.180,156.7221,
-057.429,-145.8319,-042.081,156.7329,
-057.558,-131.0227,-042.086,156.7503,
-057.655,-119.3295,-042.090,156.7557,
-057.750,-102.1122,-042.091,156.7602,
-057.830,-087.5761,-042.116,156.7604,
-057.866,-075.1040,-042.127,156.7599,
-057.821,-058.1160,-042.136,156.7687,
-057.830,-045.8841,-042.110,156.7800,
-057.883,-034.7480,-042.118,156.7836,
-057.948,-020.5791,-042.161,156.7886,
-058.082,-009.2108,-042.159,156.7896,
-058.265,002.7845,-042.153,156.7810,
-058.374,016.9896,-042.143,156.7912,
-058.524,028.6801,-042.119,156.7857,
-058.707,041.8001,-042.104,156.7915,
-058.964,055.7542,-042.159,156.7809,
-059.117,065.6644,-042.176,156.7613,
-059.491,076.8949,-042.190,156.7745,
-059.941,088.7902,-042.164,156.7875,
-060.310,098.1832,-042.157,156.7995,
